Date,Open,High,Low,Close,Volume,code,name,ret_cc,mom_1d,mom_3d,mom_5d,mom_10d,mom_20d,vol_10d,vol_20d,dollar_volume,oc_ret,oo_ret,cc_next_ret,situation,market_mom_20d,market_vol_20d,weekday,week_key,monday_open,friday_close,monfri_open_to_fri_close_ret,score,rank,trade_return
2024-07-01,59400.0,63800.0,58500.0,62600.0,3064043,028300,HLB,0.07008547008547006,-0.08450704225352113,-0.1964285714285714,-0.09020217729393465,-0.0609951845906902,-0.04878048780487809,0.05821376418727157,0.045970194181475146,220558747500.0,0.05387205387205385,0.05387205387205385,-0.05591054313099042,flat_low_vol,-0.000694904204533886,0.006056645355885437,0,2024-06-29/2024-07-05,59400.0,93100.0,0.5673400673400673,1.8383007459119105,2.0,0.5642400673400673
2025-09-01,40641.91566780822,40641.91566780822,38923.96029537671,39414.8046875,16692,031440,신세계푸드,-0.020731661750198138,-0.05747128224201681,-0.028436039066964125,0.030150776376868027,0.11413046710349684,0.0775295285698181,0.03778011349021931,0.031678695453691605,3787413073.0273438,-0.03019323671497587,-0.030193251252192188,-0.0037360049711651078,flat_low_vol,-0.017247183964924306,0.009206176700881539,0,2025-08-30/2025-09-05,40641.91566780822,41427.265625,0.01932364516502938,1.8141934640594402,2.0,0.01622364516502938
2022-12-19,9552.060952719155,9674.523272625813,9429.5986328125,9429.5986328125,789076,032640,LG유플러스,-0.012820470877622725,-0.020920467749155347,-0.029045615144780434,-0.029045615144780434,-0.029045615144780434,-0.029045615144780434,0.014045032020793494,0.011166358005645636,7420432267.294922,-0.012820512820512775,-0.008547159023929218,0.0043288518978379376,flat_low_vol,0.010986049626853678,0.009718234329775245,0,2022-12-17/2022-12-23,9552.060952719155,9633.701171875,0.008546869577146454,1.87352651048606,2.0,0.005446869577146454
2023-05-08,12271.049100259,12619.815395562004,11683.654423253998,11702.0107421875,111500,032960,동일기연,-0.03990971535788357,-0.09289612680790704,0.10299014332277157,0.04484672378553345,-0.003750809888376838,-0.06082032166508422,0.07449280473317092,0.05327763713836006,2698754021.336914,-0.04637242940047315,-0.04338070821715023,0.05019603418516394,flat_low_vol,-0.005384796972986328,0.009747370537325419,0,2023-05-06/2023-05-12,12271.049100259,13399.94921875,0.09199703377172308,1.7436232497822532,3.0,0.08889703377172307
2024-06-17,3280.0,3280.0,3190.0,3230.0,42011,033560,블루콤,-0.007680491551459334,-0.03698224852071008,-0.06733524355300857,-0.04685212298682284,-0.05788712011577424,-0.08438818565400841,0.015589899098853473,0.012133370765496147,2670844680.0,-0.015243902439024404,-0.015243902439024404,-0.012383900928792602,flat_low_vol,0.0017222621464796362,0.005327966053220236,0,2024-06-15/2024-06-21,3280.0,3245.0,-0.010670731707317027,3.047978112222291,3.0,-0.013770731707317027
2024-03-18,85333.59577265373,86063.72279530745,84329.67111650486,84603.46875,116366,033780,KT&G,0.0010800031541304822,-0.027310940615363655,-0.0021552586928459405,-0.01384456874141482,-0.004301247085520821,0.02547058335604513,0.014988979173897118,0.011324238009180147,30235843604.757812,-0.008556149732620422,-0.017112290624751503,-0.003236236989396457,flat_low_vol,-0.002669073908508901,0.005747158313378952,0,2024-03-16/2024-03-22,85333.59577265373,84420.9375,-0.010695181240050422,2.411724355601116,1.0,-0.013795181240050422
2024-06-03,76937.13156876474,77849.79030623526,76937.13156876474,77393.4609375,379168,033780,KT&G,0.015568923294448034,-0.0199530979873489,-0.030197559610388724,-0.033564824103177626,-0.06494971508489933,-0.06599562972526019,0.006837790385814359,0.008896323897716878,51266811317.0,0.005931198102016477,-1.2795873249871192e-08,0.0047169682758445575,flat_low_vol,0.003817691180958427,0.005042318432426693,0,2024-06-01/2024-06-07,76937.13156876474,79127.515625,0.02846979100432856,2.2428475195771136,3.0,0.02536979100432856
2023-06-26,14173.190197989894,14281.192233496266,14048.572464713312,14181.498046875,476905,035250,강원랜드,0.0011730567984933327,-0.01785718638589373,-0.039436646021223654,-0.033994384651255816,-0.06215622924298514,-0.09066670762525653,0.006979256224317454,0.006175934344787002,10220330531.55664,0.0005861664712778492,3.505404833070713e-08,0.035735244273906064,flat_low_vol,0.004195127635106877,0.005155215363809974,0,2023-06-24/2023-06-30,14173.190197989894,14439.041015625,0.018757302620041827,2.891414543771287,3.0,0.01565730262004183
2024-03-04,6130.0,6430.0,5870.0,5980.0,152221,035290,골드앤에스,0.013559322033898313,-0.13868613138686137,0.057347670250896154,0.04982206405693956,0.06306306306306309,0.1368015414258188,0.11311343621362689,0.081095690976424,6300627700.0,-0.024469820554649302,-0.024469820554649302,-0.0317725752508361,flat_low_vol,0.016301889625526922,0.007632817277992734,0,2024-03-02/2024-03-08,6130.0,7690.0,0.2544861337683524,1.7101541366381596,3.0,0.2513861337683524
2022-12-19,3600.360107421875,3720.3720703125,3330.3330078125,3600.360107421875,403461,041590,플래스크,-0.028340079637888316,-0.07142852772713604,-0.11469530621389812,-0.1115107644127501,-0.13333335617461517,-0.13636365188278465,0.023544996151099572,0.019974395752984507,11309569215.717773,0.0,-0.012500038143157255,-0.012500038143157255,flat_low_vol,0.010986049626853678,0.009718234329775245,0,2022-12-17/2022-12-23,3600.360107421875,3225.322509765625,-0.10416669068272866,3.5760044313963,1.0,-0.10726669068272866
2024-04-08,3460.3257385744805,3663.874311431802,3436.657299870141,3531.3310546875,507606,051380,피씨디렉트,0.020519852056239518,-0.050649337775136694,0.005502010579217842,-0.0027284870427473074,0.0517985105395844,0.08296293466384475,0.031538294860699784,0.0245616412498868,1167721505.1855469,0.020519835841313228,0.0013679940284192504,-0.029490611802881705,flat_low_vol,0.010374850421206228,0.005753322551612,0,2024-04-06/2024-04-12,3460.3257385744805,3441.39111328125,-0.005471919906890332,2.0621316490961337,3.0,-0.008571919906890333
2024-04-08,61770.36012380192,61770.36012380192,59756.10925019968,60043.859375,80108,053800,안랩,-0.02795029877547961,-0.041666669191805505,-0.06666671388456447,-0.03880593494882845,-0.0344827249337204,-0.048744498531808844,0.018520250487391345,0.017513706740131467,7364076933.609375,-0.02795031055900621,-0.027950358683718757,0.01597439059520811,flat_low_vol,0.010374850421206228,0.005753322551612,0,2024-04-06/2024-04-12,61770.36012380192,66374.359375,0.07453411704206703,2.3790891220263024,2.0,0.07143411704206702
