situation,momentum_col,vol_col,mode,return_col,top_n,min_dollar_volume,min_abs_momentum,objective,train_test_return_gap_pct,train_test_sharpe_gap,train_days,train_active_days,train_total_trades,train_final_value_krw,train_total_return_pct,train_cagr_pct,train_max_drawdown_pct,train_sharpe,train_win_rate_pct,train_profit_factor,test_days,test_active_days,test_total_trades,test_final_value_krw,test_total_return_pct,test_cagr_pct,test_max_drawdown_pct,test_sharpe,test_win_rate_pct,test_profit_factor
down_high_vol,mom_1d,vol_20d,reversal,oo_ret,10,100000000,0.0,-4.103,50.0,0.547,200,200,1989,489074.05,-51.09,-21.9,-57.17,-2.03,45.0,0.702,6,6,60,989149.08,-1.09,-1.7,-0.96,-1.483,66.67,0.771
down_high_vol,mom_20d,vol_20d,reversal,oc_ret,10,1000000000,0.0,-4.1183,45.4,0.262,200,199,1990,531654.28,-46.83,-19.61,-50.57,-1.949,45.73,0.72,6,6,60,985710.43,-1.43,-2.23,-1.35,-2.211,50.0,0.687
down_high_vol,mom_20d,vol_20d,momentum,cc_next_ret,3,100000000,0.03,-4.1246,111.93,24.157,200,200,596,108532.16,-89.15,-53.58,-89.61,-4.375,35.5,0.435,6,6,18,1227832.25,22.78,37.95,-0.37,19.782,83.33,57.799
down_high_vol,mom_1d,vol_20d,reversal,oo_ret,3,100000000,0.03,-4.1341,32.2,3.404,200,200,590,636980.09,-36.3,-14.43,-59.79,-0.488,40.5,0.905,6,6,18,958975.46,-4.1,-6.36,-1.51,-3.892,33.33,0.478
down_high_vol,mom_20d,vol_20d,reversal,oc_ret,10,1000000000,0.03,-4.1362,45.65,0.245,200,199,1988,529160.35,-47.08,-19.74,-50.8,-1.966,45.73,0.718,6,6,60,985710.43,-1.43,-2.23,-1.35,-2.211,50.0,0.687
down_high_vol,mom_1d,vol_20d,momentum,cc_next_ret,3,100000000,0.03,-4.3796,80.12,5.937,200,198,594,250017.84,-75.0,-38.06,-79.78,-2.681,37.37,0.631,6,6,18,1051230.83,5.12,8.15,-4.14,3.256,50.0,1.955
down_high_vol,mom_1d,vol_20d,reversal,oc_ret,10,100000000,0.0,-4.4125,51.66,1.709,200,200,1989,479046.42,-52.1,-22.46,-54.77,-2.4,43.0,0.661,6,6,60,995569.55,-0.44,-0.69,-1.34,-0.691,50.0,0.903
down_high_vol,mom_1d,vol_20d,momentum,cc_next_ret,3,100000000,0.0,-4.518,83.36,6.508,200,200,600,231875.0,-76.81,-39.65,-81.16,-2.83,37.0,0.616,6,6,18,1065482.68,6.55,10.45,-4.14,3.678,50.0,2.212
down_high_vol,mom_1d,vol_20d,reversal,oo_ret,10,1000000000,0.03,-4.5604,29.87,4.298,200,199,1794,659352.12,-34.06,-13.4,-64.01,-0.606,47.24,0.886,6,6,58,958116.74,-4.19,-6.49,-1.63,-4.904,50.0,0.432
down_high_vol,mom_20d,vol_20d,momentum,cc_next_ret,3,1000000000,0.0,-4.64,106.92,20.964,200,200,596,98303.97,-90.17,-55.14,-90.84,-4.386,35.0,0.44,6,6,18,1167499.81,16.75,27.48,-0.37,16.578,83.33,43.702
down_high_vol,mom_20d,vol_20d,momentum,cc_next_ret,3,1000000000,0.03,-4.64,106.92,20.964,200,200,596,98303.97,-90.17,-55.14,-90.84,-4.386,35.0,0.44,6,6,18,1167499.81,16.75,27.48,-0.37,16.578,83.33,43.702
down_high_vol,mom_1d,vol_20d,momentum,cc_next_ret,10,100000000,0.0,-4.6432,75.31,11.157,200,200,1985,317367.4,-68.26,-32.74,-71.07,-3.761,41.0,0.531,6,6,60,1070453.66,7.05,11.26,-1.57,7.396,50.0,4.631
down_high_vol,mom_5d,vol_20d,reversal,cc_next_ret,3,1000000000,0.03,-4.7608,49.89,1.503,200,198,593,480936.13,-51.91,-22.35,-58.99,-1.64,43.94,0.757,6,6,18,979775.31,-2.02,-3.15,-2.73,-3.143,50.0,0.617
down_high_vol,mom_5d,vol_20d,reversal,oc_ret,10,100000000,0.03,-4.8076,52.87,1.463,200,198,1972,461202.29,-53.88,-23.47,-60.4,-2.612,41.92,0.634,6,6,60,989927.43,-1.01,-1.57,-3.42,-1.149,50.0,0.821
down_high_vol,mom_5d,vol_20d,reversal,cc_next_ret,3,1000000000,0.0,-4.8574,51.66,1.414,200,199,595,463246.4,-53.68,-23.35,-60.0,-1.729,43.72,0.747,6,6,18,979775.31,-2.02,-3.15,-2.73,-3.143,50.0,0.617
down_high_vol,mom_1d,vol_20d,reversal,oo_ret,10,1000000000,0.0,-4.8715,40.65,2.468,200,200,1978,558756.7,-44.12,-18.22,-59.86,-1.555,47.5,0.758,6,6,60,965294.9,-3.47,-5.39,-1.74,-4.023,50.0,0.499
down_high_vol,mom_5d,vol_20d,momentum,cc_next_ret,3,1000000000,0.03,-4.9142,79.78,4.17,200,200,598,219291.56,-78.07,-40.8,-79.54,-2.854,37.0,0.622,6,6,18,1017137.91,1.71,2.7,-7.68,1.316,50.0,1.281
down_high_vol,mom_5d,vol_20d,reversal,oc_ret,10,100000000,0.0,-4.98,54.23,1.587,200,199,1982,447581.81,-55.24,-24.25,-61.57,-2.736,41.71,0.619,6,6,60,989927.43,-1.01,-1.57,-3.42,-1.149,50.0,0.821
down_high_vol,mom_1d,vol_20d,momentum,oo_ret,10,100000000,0.0,-5.0077,78.67,9.045,200,200,1985,250247.76,-74.98,-38.04,-79.57,-3.678,35.0,0.539,6,6,60,1036860.07,3.69,5.84,-2.87,5.367,66.67,2.287
down_high_vol,mom_5d,vol_20d,reversal,oo_ret,10,100000000,0.03,-5.0385,54.81,0.254,200,198,1972,430361.52,-56.96,-25.27,-64.23,-2.468,41.41,0.659,6,6,60,978528.4,-2.15,-3.35,-3.11,-2.722,50.0,0.629
down_high_vol,mom_5d,vol_20d,momentum,cc_next_ret,3,100000000,0.03,-5.0423,79.31,4.324,200,200,600,224739.04,-77.53,-40.3,-78.46,-2.979,36.0,0.603,6,6,18,1017761.27,1.78,2.8,-8.3,1.345,50.0,1.268
down_high_vol,mom_5d,vol_20d,momentum,cc_next_ret,3,1000000000,0.0,-5.0656,80.68,4.283,200,200,598,210310.83,-78.97,-41.65,-80.38,-2.967,36.5,0.608,6,6,18,1017137.91,1.71,2.7,-7.68,1.316,50.0,1.281
down_high_vol,mom_1d,vol_20d,momentum,oo_ret,10,100000000,0.03,-5.0693,83.25,10.409,200,198,1929,218071.18,-78.19,-40.92,-81.94,-3.844,35.86,0.521,6,6,60,1050577.16,5.06,8.04,-2.57,6.565,66.67,2.955
down_high_vol,mom_5d,vol_20d,reversal,oo_ret,10,1000000000,0.03,-5.0874,50.56,1.03,200,198,1962,462316.24,-53.77,-23.4,-57.97,-2.255,42.42,0.688,6,6,60,967947.53,-3.21,-4.98,-0.89,-3.285,33.33,0.517
down_high_vol,mom_5d,vol_20d,reversal,oo_ret,10,1000000000,0.0,-5.1102,51.21,1.016,200,199,1972,455766.26,-54.42,-23.78,-58.56,-2.269,43.22,0.685,6,6,60,967947.53,-3.21,-4.98,-0.89,-3.285,33.33,0.517
down_high_vol,mom_1d,vol_20d,momentum,oo_ret,10,1000000000,0.0,-5.1399,79.12,9.681,200,199,1978,237526.14,-76.25,-39.15,-80.49,-3.832,33.17,0.528,6,6,60,1028694.95,2.87,4.53,-2.14,5.849,66.67,2.336
down_high_vol,mom_20d,vol_20d,momentum,oo_ret,3,100000000,0.0,-5.1704,102.7,12.994,200,200,598,127013.25,-87.3,-50.98,-89.45,-3.93,36.5,0.506,6,6,18,1153992.16,15.4,25.17,-4.16,9.064,83.33,4.598
down_high_vol,mom_5d,vol_20d,reversal,oo_ret,10,100000000,0.0,-5.1795,56.62,0.117,200,199,1982,412293.63,-58.77,-26.37,-65.73,-2.605,41.71,0.642,6,6,60,978528.4,-2.15,-3.35,-3.11,-2.722,50.0,0.629
down_high_vol,mom_1d,vol_20d,momentum,oo_ret,3,1000000000,0.0,-5.2179,89.01,3.746,200,199,596,118732.48,-88.13,-52.11,-91.4,-2.922,39.7,0.624,6,6,18,1008817.63,0.88,1.39,-7.9,0.824,50.0,1.149
down_high_vol,mom_5d,vol_20d,momentum,cc_next_ret,3,100000000,0.0,-5.247,80.6,4.471,200,200,600,211836.53,-78.82,-41.51,-79.69,-3.126,35.5,0.588,6,6,18,1017761.27,1.78,2.8,-8.3,1.345,50.0,1.268
down_high_vol,mom_1d,vol_20d,reversal,oc_ret,3,100000000,0.0,-5.2842,41.6,3.112,200,200,600,541563.28,-45.84,-19.1,-58.04,-1.416,39.0,0.785,6,6,18,957612.7,-4.24,-6.56,-2.65,-4.528,50.0,0.503
down_high_vol,mom_1d,vol_20d,momentum,oo_ret,10,1000000000,0.03,-5.3239,83.27,10.37,200,198,1890,202312.24,-79.77,-42.43,-83.23,-4.013,33.84,0.505,6,6,58,1034961.66,3.5,5.53,-2.05,6.357,66.67,2.701
down_high_vol,mom_20d,vol_20d,reversal,oc_ret,3,1000000000,0.0,-5.3438,61.31,0.052,200,199,597,367743.45,-63.23,-29.23,-67.21,-2.553,43.72,0.644,6,6,18,980788.82,-1.92,-3.0,-2.59,-2.501,33.33,0.656
down_high_vol,mom_20d,vol_20d,reversal,oc_ret,3,1000000000,0.03,-5.3438,61.31,0.052,200,199,597,367743.45,-63.23,-29.23,-67.21,-2.553,43.72,0.644,6,6,18,980788.82,-1.92,-3.0,-2.59,-2.501,33.33,0.656
down_high_vol,mom_1d,vol_20d,momentum,oo_ret,3,1000000000,0.03,-5.3673,88.91,3.541,200,198,594,115018.28,-88.5,-52.64,-91.46,-3.005,39.39,0.617,6,6,18,1004124.56,0.41,0.65,-7.9,0.536,50.0,1.096
down_high_vol,mom_20d,vol_20d,momentum,oo_ret,3,100000000,0.03,-5.4724,104.51,13.22,200,200,596,108886.67,-89.11,-53.52,-90.46,-4.156,36.0,0.485,6,6,18,1153992.16,15.4,25.17,-4.16,9.064,83.33,4.598
down_high_vol,mom_20d,vol_20d,momentum,oo_ret,10,1000000000,0.0,-5.5857,93.86,18.969,200,200,1973,168114.33,-83.19,-46.0,-84.92,-5.131,32.5,0.4,6,6,60,1106748.66,10.67,17.23,-1.18,13.838,83.33,9.775
down_high_vol,mom_20d,vol_20d,momentum,oo_ret,10,1000000000,0.03,-5.6015,93.96,18.981,200,200,1969,167117.1,-83.29,-46.11,-85.01,-5.143,33.0,0.4,6,6,60,1106748.66,10.67,17.23,-1.18,13.838,83.33,9.775
down_high_vol,mom_20d,vol_20d,momentum,oo_ret,3,1000000000,0.0,-5.6032,112.85,14.7,200,200,596,85033.09,-91.5,-57.33,-92.16,-4.386,34.0,0.465,6,6,18,1213548.35,21.35,35.45,-4.1,10.314,83.33,5.956
down_high_vol,mom_20d,vol_20d,momentum,oo_ret,3,1000000000,0.03,-5.6032,112.85,14.7,200,200,596,85033.09,-91.5,-57.33,-92.16,-4.386,34.0,0.465,6,6,18,1213548.35,21.35,35.45,-4.1,10.314,83.33,5.956
down_high_vol,mom_1d,vol_20d,reversal,oo_ret,3,100000000,0.0,-5.6049,39.9,4.593,200,200,600,542000.6,-45.8,-19.08,-56.66,-1.06,38.5,0.821,6,6,18,940978.8,-5.9,-9.1,-2.87,-5.653,33.33,0.384
down_high_vol,mom_20d,vol_20d,momentum,oc_ret,3,100000000,0.0,-5.6561,97.18,11.937,200,200,598,140781.96,-85.92,-49.21,-88.23,-4.187,37.0,0.473,6,6,18,1112621.85,11.26,18.21,-4.86,7.75,83.33,3.29
down_high_vol,mom_20d,vol_20d,reversal,oo_ret,3,1000000000,0.0,-5.6825,64.89,0.525,200,199,597,320296.46,-67.97,-32.53,-72.45,-2.51,44.22,0.65,6,6,18,969195.25,-3.08,-4.79,-3.91,-3.035,50.0,0.636
down_high_vol,mom_20d,vol_20d,reversal,oo_ret,3,1000000000,0.03,-5.6825,64.89,0.525,200,199,597,320296.46,-67.97,-32.53,-72.45,-2.51,44.22,0.65,6,6,18,969195.25,-3.08,-4.79,-3.91,-3.035,50.0,0.636
down_high_vol,mom_20d,vol_20d,momentum,oo_ret,10,100000000,0.0,-5.726,83.72,11.717,200,200,1979,234097.07,-76.59,-39.45,-80.14,-4.491,37.5,0.454,6,6,60,1071317.17,7.13,11.4,-2.86,7.226,83.33,3.482
down_high_vol,mom_1d,vol_20d,reversal,oo_ret,3,1000000000,0.03,-5.8278,49.57,4.444,200,199,585,452345.67,-54.77,-23.98,-67.98,-1.146,40.7,0.802,6,6,18,948042.25,-5.2,-8.02,-2.23,-5.59,50.0,0.308
down_high_vol,mom_5d,vol_20d,reversal,oc_ret,3,100000000,0.03,-5.8295,53.01,1.25,200,198,594,403891.21,-59.61,-26.9,-66.71,-2.425,45.45,0.663,6,6,18,933965.14,-6.6,-10.16,-8.86,-3.675,66.67,0.505
down_high_vol,mom_5d,vol_20d,reversal,oc_ret,3,100000000,0.0,-5.8765,53.78,1.207,200,199,596,396190.69,-60.38,-27.38,-67.26,-2.468,45.23,0.66,6,6,18,933965.14,-6.6,-10.16,-8.86,-3.675,66.67,0.505
down_high_vol,mom_20d,vol_20d,momentum,oc_ret,3,100000000,0.03,-5.9337,98.92,12.145,200,200,596,123367.2,-87.66,-51.48,-88.57,-4.395,36.5,0.455,6,6,18,1112621.85,11.26,18.21,-4.86,7.75,83.33,3.29
down_high_vol,mom_5d,vol_20d,reversal,oc_ret,10,1000000000,0.03,-5.9413,47.61,2.494,200,198,1962,489722.32,-51.03,-21.86,-55.2,-2.329,43.94,0.668,6,6,60,965849.65,-3.42,-5.3,-1.86,-4.823,33.33,0.469
down_high_vol,mom_5d,vol_20d,reversal,oc_ret,10,1000000000,0.0,-5.9932,48.42,2.447,200,199,1972,481579.09,-51.84,-22.31,-55.94,-2.376,44.72,0.664,6,6,60,965849.65,-3.42,-5.3,-1.86,-4.823,33.33,0.469
down_high_vol,mom_20d,vol_20d,momentum,oo_ret,10,100000000,0.03,-6.1526,87.43,12.034,200,200,1975,196978.78,-80.3,-42.96,-82.76,-4.808,36.5,0.418,6,6,60,1071317.17,7.13,11.4,-2.86,7.226,83.33,3.482
down_high_vol,mom_1d,vol_20d,momentum,cc_next_ret,3,1000000000,0.0,-6.2455,76.91,0.462,200,199,596,206522.8,-79.35,-42.02,-82.31,-3.041,35.68,0.59,6,6,18,975616.85,-2.44,-3.8,-4.34,-2.579,33.33,0.644
down_high_vol,mom_1d,vol_20d,momentum,oo_ret,3,100000000,0.03,-6.3057,97.78,6.663,200,198,594,69811.96,-93.02,-60.14,-94.08,-3.983,38.38,0.529,6,6,18,1047644.56,4.76,7.57,-8.17,2.68,33.33,1.579
down_high_vol,mom_5d,vol_20d,momentum,oo_ret,3,100000000,0.03,-6.323,100.9,8.151,200,200,600,85620.52,-91.44,-57.23,-92.78,-4.188,35.5,0.498,6,6,18,1094560.63,9.46,15.22,-9.15,3.963,66.67,1.895
down_high_vol,mom_1d,vol_20d,reversal,oc_ret,3,1000000000,0.03,-6.3867,51.91,4.865,200,199,585,432916.87,-56.71,-25.12,-66.88,-1.384,39.7,0.769,6,6,18,951953.58,-4.8,-7.43,-3.63,-6.249,33.33,0.372
