w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_annual,tr_mdd,te_sharpe,te_cumret,te_annual,te_mdd,te_winrate
0.0,0.1,0.75,0.15000000000000002,-0.29431283,-0.24427497,-0.09488082,-0.41485605,1.2223235,0.59298813,0.3708272,-0.168839,0.5510753
0.0,0.1,0.8,0.1,-0.0013727873,-0.07334119,-0.026747108,-0.3440453,1.3616223,0.67744863,0.4196515,-0.16145635,0.5591398
0.0,0.1,0.8500000000000001,0.05,-0.0033153973,-0.07095206,-0.025854707,-0.3647497,0.81896746,0.30322933,0.19651282,-0.18026583,0.53494626
0.0,0.1,0.9,0.0,0.33666596,0.15521026,0.052696228,-0.3616178,1.1883028,0.5386131,0.33895218,-0.18354157,0.52150536
0.0,0.15000000000000002,0.0,0.8500000000000001,0.004543266,-0.06166625,-0.02240026,-0.34029058,1.879681,1.3158801,0.7663051,-0.16390286,0.5107527
0.0,0.15000000000000002,0.05,0.8,-0.068979576,-0.09977287,-0.036720276,-0.36755955,1.8256011,1.1172001,0.6621777,-0.16903958,0.5322581
0.0,0.15000000000000002,0.1,0.75,-0.41187453,-0.27714324,-0.10909343,-0.4506995,1.8490348,1.1761391,0.6933842,-0.12995398,0.52150536
0.0,0.15000000000000002,0.15000000000000002,0.7000000000000001,-0.18381044,-0.1685381,-0.06358302,-0.35394529,1.787295,1.0938058,0.6497134,-0.1346118,0.5268817
0.0,0.15000000000000002,0.2,0.65,-0.24234384,-0.20570284,-0.07870072,-0.41491345,2.032564,1.3511102,0.7844629,-0.16453029,0.5241935
0.0,0.15000000000000002,0.25,0.6000000000000001,-0.36013678,-0.2648105,-0.10371274,-0.39660606,1.9917648,1.4897654,0.8550917,-0.15419085,0.52150536
0.0,0.15000000000000002,0.30000000000000004,0.55,-0.32356074,-0.2499907,-0.09732342,-0.4091259,1.92155,1.1874688,0.69935143,-0.16137457,0.5241935
0.0,0.15000000000000002,0.35000000000000003,0.5,-0.3262909,-0.2521838,-0.09826374,-0.4069559,2.090502,1.3615689,0.7898364,-0.11946907,0.5322581
0.0,0.15000000000000002,0.4,0.45,-0.2205296,-0.19273883,-0.07337648,-0.4192468,1.7596371,1.0215123,0.61090934,-0.12731381,0.52956986
0.0,0.15000000000000002,0.45,0.4,-0.3192025,-0.24167478,-0.09377366,-0.45100775,1.8245475,1.0815182,0.6431489,-0.12972453,0.53763443
0.0,0.15000000000000002,0.5,0.35000000000000003,-0.03970092,-0.096252084,-0.03538102,-0.41492802,1.8606457,1.0729058,0.6385404,-0.12845366,0.5483871
0.0,0.15000000000000002,0.55,0.30000000000000004,-0.13880433,-0.15105242,-0.056620598,-0.40457436,1.7903587,1.0238013,0.6121448,-0.1436709,0.55376345
0.0,0.15000000000000002,0.6000000000000001,0.25,-0.12638491,-0.14337969,-0.05359459,-0.42471448,1.6051034,0.8748697,0.53079104,-0.1297836,0.54569894
0.0,0.15000000000000002,0.65,0.2,0.04096724,-0.04497063,-0.016244173,-0.36099514,1.5263717,0.78282285,0.47946787,-0.13025783,0.5430108
0.0,0.15000000000000002,0.7000000000000001,0.15000000000000002,0.093251504,-0.01013273,-0.0036184788,-0.32510895,1.3096449,0.61858916,0.38571274,-0.1536699,0.5591398
0.0,0.15000000000000002,0.75,0.1,0.14024347,0.019132972,0.006768465,-0.33980623,1.4033439,0.6501758,0.4039744,-0.15208724,0.55376345
0.0,0.15000000000000002,0.8,0.05,0.31048724,0.13039196,0.044590235,-0.3078188,0.94512314,0.35208702,0.2267189,-0.14883654,0.53494626
0.0,0.15000000000000002,0.8500000000000001,0.0,0.14844829,0.026913881,0.0094976425,-0.2979409,0.620085,0.20695448,0.13589704,-0.16122186,0.50268817
0.0,0.2,0.0,0.8,0.059276614,-0.028315902,-0.01017189,-0.33444348,1.4349589,0.82134247,0.50104713,-0.15473706,0.51344085
0.0,0.2,0.05,0.75,-0.5122557,-0.28777605,-0.11378014,-0.4064092,1.0764409,0.49049437,0.31044054,-0.15082239,0.5188172
0.0,0.2,0.1,0.7000000000000001,-0.15722445,-0.14243144,-0.05322188,-0.41729423,1.8272754,1.0388753,0.6202693,-0.12332569,0.52956986
0.0,0.2,0.15000000000000002,0.65,0.12723236,0.011877537,0.004211545,-0.37855378,1.7483844,1.0487041,0.6255566,-0.16005705,0.5322581
0.0,0.2,0.2,0.6000000000000001,-0.16373052,-0.15522349,-0.058272958,-0.39945847,1.738842,1.0301175,0.6155516,-0.153546,0.52956986
0.0,0.2,0.25,0.55,-0.54581034,-0.3374623,-0.13629967,-0.45949963,1.5962052,0.8384459,0.5105814,-0.13015383,0.52956986
0.0,0.2,0.30000000000000004,0.5,-0.39933214,-0.2674287,-0.10485017,-0.43851262,1.6291393,0.8710067,0.5286536,-0.14785437,0.5322581
0.0,0.2,0.35000000000000003,0.45,-0.11534162,-0.12888914,-0.04792708,-0.41540208,1.4164901,0.6949954,0.4296943,-0.13909096,0.5322581
0.0,0.2,0.4,0.4,-0.18362786,-0.16720802,-0.06305003,-0.45277524,1.2411523,0.5627574,0.3531499,-0.12754714,0.52150536
0.0,0.2,0.45,0.35000000000000003,0.029036133,-0.046685398,-0.01687324,-0.36429143,1.269168,0.57658327,0.36124802,-0.13769872,0.5403226
0.0,0.2,0.5,0.30000000000000004,-0.0124215465,-0.07072693,-0.025770724,-0.3660741,1.6186814,0.8438629,0.5135951,-0.1412836,0.5510753
0.0,0.2,0.55,0.25,-0.012101283,-0.07086724,-0.025823057,-0.37957937,1.7748356,0.95502543,0.5748249,-0.14367615,0.5483871
0.0,0.2,0.6000000000000001,0.2,0.18052438,0.045647025,0.016014218,-0.3425578,1.3642333,0.6436999,0.4002396,-0.1313682,0.54569894
0.0,0.2,0.65,0.15000000000000002,0.26506427,0.10051477,0.03467822,-0.36168164,1.1467824,0.48172116,0.30521035,-0.12556428,0.5403226
