Date,picks,daily_return,equity
2023-06-12,0,0.0,1018315.068774682
2023-06-13,0,0.0,1018315.068774682
2023-06-14,0,0.0,1018315.068774682
2023-06-15,0,0.0,1018315.068774682
2023-06-16,0,0.0,1018315.068774682
2023-06-19,0,0.0,1018315.068774682
2023-06-20,0,0.0,1018315.068774682
2023-06-21,0,0.0,1018315.068774682
2023-06-22,0,0.0,1018315.068774682
2023-06-23,0,0.0,1018315.068774682
2023-06-26,0,0.0,1018315.068774682
2023-06-27,0,0.0,1018315.068774682
2023-06-28,0,0.0,1018315.068774682
2023-06-29,0,0.0,1018315.068774682
2023-06-30,0,0.0,1018315.068774682
2023-07-03,0,0.0,1018315.068774682
2023-07-04,0,0.0,1018315.068774682
2023-07-05,0,0.0,1018315.068774682
2023-07-06,0,0.0,1018315.068774682
2023-07-07,0,0.0,1018315.068774682
2023-07-10,0,0.0,1018315.068774682
2023-07-11,0,0.0,1018315.068774682
2023-07-12,0,0.0,1018315.068774682
2023-07-13,0,0.0,1018315.068774682
2023-07-14,0,0.0,1018315.068774682
2023-07-17,0,0.0,1018315.068774682
2023-07-18,0,0.0,1018315.068774682
2023-07-19,0,0.0,1018315.068774682
2023-07-20,0,0.0,1018315.068774682
2023-07-21,0,0.0,1018315.068774682
2023-07-24,0,0.0,1018315.068774682
2023-07-25,0,0.0,1018315.068774682
2023-07-26,0,0.0,1018315.068774682
2023-07-27,0,0.0,1018315.068774682
2023-07-28,0,0.0,1018315.068774682
2023-07-31,0,0.0,1018315.068774682
2023-08-01,0,0.0,1018315.068774682
2023-08-02,0,0.0,1018315.068774682
2023-08-03,0,0.0,1018315.068774682
2023-08-04,0,0.0,1018315.068774682
2023-08-07,3,-0.031078067374655877,986667.8044586751
2023-08-08,3,0.011478724118610277,997993.4919827711
2023-08-09,0,0.0,997993.4919827711
2023-08-10,0,0.0,997993.4919827711
2023-08-11,0,0.0,997993.4919827711
2023-08-14,3,-0.051668088598832214,946429.0758179473
2023-08-16,0,0.0,946429.0758179473
2023-08-17,0,0.0,946429.0758179473
2023-08-18,0,0.0,946429.0758179473
2023-08-21,0,0.0,946429.0758179473
2023-08-22,0,0.0,946429.0758179473
2023-08-23,0,0.0,946429.0758179473
2023-08-24,3,-0.03251629796711061,915654.7059839139
2023-08-25,0,0.0,915654.7059839139
2023-08-28,0,0.0,915654.7059839139
2023-08-29,3,0.015524440098944929,929869.7326182782
2023-08-30,0,0.0,929869.7326182782
2023-08-31,0,0.0,929869.7326182782
2023-09-01,0,0.0,929869.7326182782
2023-09-04,0,0.0,929869.7326182782
2023-09-05,0,0.0,929869.7326182782
2023-09-06,0,0.0,929869.7326182782
2023-09-07,0,0.0,929869.7326182782
2023-09-08,0,0.0,929869.7326182782
2023-09-11,0,0.0,929869.7326182782
2023-09-12,0,0.0,929869.7326182782
