Date,Open,High,Low,Close,Volume,code,name,ret_cc,mom_1d,mom_3d,mom_5d,mom_10d,mom_20d,vol_10d,vol_20d,dollar_volume,oc_ret,oo_ret,cc_next_ret,situation,market_mom_20d,market_vol_20d,score,rank,trade_return
2024-04-25,30120.482421875,30180.72265625,29759.037109375,29879.517578125,5548,002070,비비안,-0.011952176053628638,0.0,-0.014720358309121884,-0.029013564760720256,-0.0695088341346154,-0.13223859674765726,0.00989436759314562,0.007478360309002024,171798910.18164062,-0.008000032681249492,-0.002000040592186836,0.0,down_low_vol,-0.02699979127149632,0.008929041263477832,3.8796692806838124,2.0,-0.0031
2024-04-26,30060.240234375,30060.240234375,29608.43359375,29879.517578125,2869,002070,비비안,0.0,-0.011952176053628638,-0.018793271258215727,-0.0424710301462734,-0.07548930440725987,-0.13438051645724103,0.009987456342463652,0.007540538431680509,165771563.5234375,-0.006012016365835149,-0.007013975777675041,0.010080653991064281,down_low_vol,-0.03002794807750342,0.00895678384025188,5.632360411802605,1.0,0.006980653991064281
2024-07-05,4690.0,4750.0,4570.0,4750.0,157788,002210,동성제약,0.00849256900212314,-0.0052798310454065245,-0.024844720496894457,-0.03384615384615386,-0.04268292682926833,-0.06547619047619047,0.0068510699835535715,0.005473049686673222,341536230.0,0.01279317697228155,0.0010660980810235365,0.006315789473684275,down_low_vol,-0.02629182508833161,0.0056293626281657015,6.184148835441533,1.0,0.0032157894736842747
2024-07-03,5270.0,5790.0,5200.0,5450.0,106156,002420,세기상사,0.03809523809523818,-0.07243816254416957,-0.15048543689320393,-0.26573426573426573,-0.27685950413223137,-0.38953488372093026,0.04867639666717226,0.03888178578053728,626734500.0,0.034155597722960174,0.017077798861480087,-0.08348623853211012,down_low_vol,-0.029444048263596256,0.005682422975452076,6.834415148372172,1.0,-0.08658623853211013
2023-07-25,975.1302165460148,976.8872079271788,950.532337209719,957.560302734375,296028,002450,삼익악기,-0.021543951374650927,-0.026223765181674907,-0.048676426578407206,-0.06386561510173183,-0.07011681167119221,-0.08312764741281775,0.008575100605013425,0.007512548372967105,265915235.23608395,-0.018018018018017945,-0.01891892948810925,-0.02293579034243065,down_low_vol,-0.030585709838900188,0.009712484685761667,8.501191863408648,1.0,-0.02603579034243065
2023-10-04,1330.7077979612886,1339.5726167485957,1307.068281195137,1314.9481201171875,112376,002760,보락,-0.018382453448128167,-0.0022009484281940717,-0.046283302644431146,-0.07671410990687788,-0.08847183650441959,-0.09634547008352756,0.009916407969259747,0.009351897159001468,136948541.35009766,-0.011843079200592133,0.005181382116443256,-0.010486856964618152,down_low_vol,-0.0650550416908584,0.008440201146913223,8.20305319900127,2.0,-0.013586856964618152
2024-02-08,159760.6817644817,159858.15625,158785.9369092988,159858.15625,1336,002840,미원상사,0.0006101900665282933,-0.007268476422987669,-0.017386125696211896,-0.020908114093739272,-0.02729990058649212,-0.03075102866809787,0.004061024652344917,0.004263997385260207,206570548.734375,0.0006101281269066394,0.0006101269556186839,0.018292681734842775,down_low_vol,-0.02941105789313614,0.00853016784972509,4.903406874970063,3.0,0.015192681734842775
2024-02-13,159858.15606287424,163659.66099363772,159565.73260666168,162782.390625,3258,002840,미원상사,0.018292681734842775,0.0006101900665282933,-0.010856491111611022,-0.019725128102139444,-0.028435961799227583,-0.03187732161723422,0.003930547286857424,0.004223963125149703,213570496.75,0.018292682926829285,0.01829281662787441,-0.0005986711746021056,down_low_vol,-0.03116131051733395,0.008475418535037317,4.669815412141023,3.0,-0.0036986711746021055
2025-08-25,146575.01015946502,146673.78038194444,143611.9034850823,144006.984375,5053,002840,미원상사,-0.01752014753539144,-0.02046213745962755,-0.0577778027765663,-0.09235470810517143,-0.06666665340079958,-0.0850800993803068,0.017335990978829346,0.014755868076236515,985277150.0,-0.01752021563342321,-0.017520201629166454,-0.0445816050371689,down_low_vol,-0.03138297398694456,0.009095729798563988,6.258846150427668,1.0,-0.0476816050371689
2024-02-02,172791.20960302654,181415.8999274461,172692.0752314815,179334.078125,109250,003230,삼양식품,0.0432525967283115,-0.0570964115442939,-0.07322294039288346,-0.10155451018323358,-0.11440249793785218,-0.21181821047533622,0.021082056750682684,0.01835715338378485,40609419760.0,0.03786574870912207,0.04532419018864409,-0.007739047784507624,down_low_vol,-0.028023567229987,0.008146661734042118,5.53214913336935,3.0,-0.010839047784507625
