w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_mdd,te_sharpe,te_cumret,te_mdd
0.0,0.5,0.1,0.4,-0.43682393,-0.21271956,-0.39388016,1.8905631,0.88003635,-0.11813366
0.0,0.5,0.15000000000000002,0.35000000000000003,-0.0066360715,-0.04757321,-0.35295558,1.8146868,0.82594025,-0.11941135
0.0,0.5,0.2,0.30000000000000004,0.20576529,0.060845017,-0.3093252,1.5112798,0.6076577,-0.127023
0.0,0.5,0.25,0.25,0.0579141,-0.013672471,-0.30643043,1.4194908,0.5913745,-0.14050697
0.0,0.5,0.30000000000000004,0.2,-0.14351523,-0.10312849,-0.32190117,0.9037562,0.31287587,-0.143129
0.0,0.5,0.35000000000000003,0.15000000000000002,0.30357045,0.10925472,-0.25951993,0.66501665,0.20926344,-0.15678898
0.0,0.5,0.4,0.1,0.007513999,-0.03629279,-0.31011406,0.9803822,0.34537184,-0.14590496
0.0,0.5,0.45,0.05,-0.17757306,-0.11433399,-0.34967485,0.8704055,0.28940248,-0.14049046
0.0,0.5,0.5,0.0,0.02175746,-0.02719009,-0.34955165,1.1903222,0.45029736,-0.13847837
0.0,0.55,0.0,0.45,-0.54857755,-0.24049765,-0.3281884,1.6397369,0.7157047,-0.13184059
0.0,0.55,0.05,0.4,-0.49398068,-0.2175473,-0.3296044,1.4350045,0.57096934,-0.12275207
0.0,0.55,0.1,0.35000000000000003,-0.40097573,-0.19003612,-0.3948335,2.0488622,0.9667648,-0.122496605
0.0,0.55,0.15000000000000002,0.30000000000000004,-0.14852415,-0.10359496,-0.32014763,1.7898196,0.7544166,-0.117264844
0.0,0.55,0.2,0.25,0.0065471274,-0.035895288,-0.29591653,1.4721239,0.58686745,-0.13011205
0.0,0.55,0.25,0.2,0.052777797,-0.01461184,-0.30465606,1.2166424,0.45025826,-0.11864763
0.0,0.55,0.30000000000000004,0.15000000000000002,0.04073332,-0.019551814,-0.29104236,1.0552764,0.37315476,-0.1289403
0.0,0.55,0.35000000000000003,0.1,-0.21902858,-0.12763697,-0.33726943,0.92689186,0.31339753,-0.14651012
0.0,0.55,0.4,0.05,-0.13719922,-0.09380078,-0.36613742,0.96795636,0.33033812,-0.15089327
0.0,0.55,0.45,0.0,-0.13003129,-0.08714485,-0.35527027,1.2172824,0.4523592,-0.14500631
0.0,0.6000000000000001,0.0,0.4,-0.5227884,-0.22725934,-0.35791716,1.4059627,0.56602454,-0.15612178
0.0,0.6000000000000001,0.05,0.35000000000000003,-0.70042115,-0.2765838,-0.3790156,1.4882016,0.5841576,-0.13009758
0.0,0.6000000000000001,0.1,0.30000000000000004,-0.2855265,-0.14476073,-0.38253585,1.7689706,0.75517726,-0.14227723
