w_mom,w_lv,w_rsi,w_vol,train_sharpe_nosl,test_sharpe_nosl,train_sharpe_sl,test_sharpe_sl,train_cumret_sl,test_cumret_sl
0.0,0.4,0.1,0.5,-0.6316106,1.1550726,-0.026280034,2.3820744,-0.1309756,2.3874245
0.0,0.4,0.15000000000000002,0.45,-0.49389666,1.7941427,0.15550095,3.048232,-0.0006811023,4.026105
0.0,0.4,0.2,0.4,-0.10688942,1.6569946,0.4995514,2.8898928,0.3609934,3.7149878
0.0,0.4,0.25,0.35000000000000003,-0.0019130236,1.1787895,0.6266052,2.3692806,0.5281882,2.4038086
0.0,0.4,0.30000000000000004,0.30000000000000004,-0.05855207,0.9615816,0.5649215,1.979317,0.44214642,1.7707806
0.0,0.4,0.35000000000000003,0.25,0.021337815,0.76164955,0.655011,1.7410153,0.5641335,1.403847
0.0,0.4,0.4,0.2,0.1777214,0.8673672,0.79107255,1.8391142,0.7593409,1.4422674
0.0,0.4,0.45,0.15000000000000002,0.074158505,1.5527033,0.66814446,2.4012809,0.57756495,2.325095
0.0,0.4,0.5,0.1,-0.19720374,1.2816677,0.35954973,2.1336153,0.19727468,1.7365589
0.0,0.4,0.55,0.05,-0.42956847,1.9892225,0.08765574,2.8147724,-0.051677167,3.0107508
0.0,0.4,0.6000000000000001,0.0,-0.16043934,1.7139686,0.29758504,2.6998298,0.13289285,2.8122592
0.0,0.45,0.0,0.55,-0.5272163,0.5121734,0.03848504,1.5290446,-0.07213801,1.0504212
0.0,0.45,0.05,0.5,-0.33888176,0.756703,0.24241579,1.5901791,0.08543241,1.1228869
0.0,0.45,0.1,0.45,-0.57192963,1.4159918,-0.05945079,2.4254892,-0.14907914,2.331074
0.0,0.45,0.15000000000000002,0.4,-0.69519705,1.9349034,-0.095556855,2.9415495,-0.18701184,3.580051
0.0,0.45,0.2,0.35000000000000003,-0.26669538,1.4557208,0.25984955,2.359117,0.09672797,2.3488705
0.0,0.45,0.25,0.30000000000000004,0.045115177,1.333833,0.60566795,2.204335,0.48687053,2.0635276
0.0,0.45,0.30000000000000004,0.25,-0.010727968,1.2998673,0.5856323,2.211238,0.46698284,2.138176
0.0,0.45,0.35000000000000003,0.2,0.11703161,0.91634935,0.70645,1.7999887,0.6139375,1.3856106
0.0,0.45,0.4,0.15000000000000002,0.086513065,1.0381405,0.643587,1.832034,0.5290109,1.4229345
0.0,0.45,0.45,0.1,-0.30357426,1.2802066,0.19869617,2.0169053,0.04112923,1.5911019
0.0,0.45,0.5,0.05,-0.5455704,1.7268733,-0.04415433,2.513701,-0.14703614,2.3277597
0.0,0.45,0.55,0.0,-0.08124926,1.9703568,0.37523395,2.9172733,0.20805728,3.2635636
0.0,0.5,0.0,0.5,-0.4145724,0.8358316,0.13677318,1.7226292,0.0031170845,1.2631032
0.0,0.5,0.05,0.45,-0.4264831,1.0896014,0.11716994,1.9524386,-0.013582826,1.5404856
0.0,0.5,0.1,0.4,-1.0774273,1.6598986,-0.6020733,2.5514426,-0.4416691,2.496218
0.0,0.5,0.15000000000000002,0.35000000000000003,-0.5605818,1.9630047,-0.04885689,2.820697,-0.15129548,3.2057204
0.0,0.5,0.2,0.30000000000000004,-0.4576483,1.7989568,0.07302731,2.615896,-0.06338203,2.765726
0.0,0.5,0.25,0.25,-0.33630538,1.6285245,0.19298677,2.3545861,0.03794968,2.356099
0.0,0.5,0.30000000000000004,0.2,-0.2145503,1.0789286,0.34059465,1.8888836,0.17565286,1.4932716
0.0,0.5,0.35000000000000003,0.15000000000000002,0.07166414,0.79892004,0.5780018,1.61181,0.4342729,1.1434915
0.0,0.5,0.4,0.1,-0.2397917,1.1673976,0.23713641,1.9043981,0.07816875,1.4262643
0.0,0.5,0.45,0.05,-0.5283052,1.6416976,-0.06776997,2.3699095,-0.158476,1.9998741
0.0,0.5,0.5,0.0,-0.21255694,1.863634,0.2060448,2.776597,0.05195105,2.793697
0.0,0.55,0.0,0.45,-0.6301009,0.97300714,-0.03908978,1.8542917,-0.11372495,1.3916564
0.0,0.55,0.05,0.4,-0.72457653,1.2134761,-0.22478214,1.9806452,-0.23337299,1.5551856
0.0,0.55,0.1,0.35000000000000003,-1.0220994,1.8779345,-0.5952,2.6001515,-0.42204642,2.480475
0.0,0.55,0.15000000000000002,0.30000000000000004,-0.70908123,1.9374741,-0.25492105,2.6078696,-0.2729056,2.6519067
0.0,0.55,0.2,0.25,-0.71460783,1.6488757,-0.22444677,2.391901,-0.25855005,2.301321
0.0,0.55,0.25,0.2,-0.6151587,1.0474976,-0.10041996,1.7922996,-0.18576896,1.3125541
0.0,0.55,0.30000000000000004,0.15000000000000002,-0.4308698,1.0750271,0.04065473,1.7883682,-0.08003771,1.3054013
0.0,0.55,0.35000000000000003,0.1,-0.44685405,0.98551273,-0.01864651,1.7137789,-0.123052895,1.189363
0.0,0.55,0.4,0.05,-0.5639482,1.4344285,-0.12877485,2.077381,-0.19614881,1.6104169
0.0,0.55,0.45,0.0,-0.5290404,1.746291,-0.15232149,2.5667665,-0.20851839,2.3741956
0.0,0.6000000000000001,0.0,0.4,-0.6404653,1.2094218,-0.08222337,1.958487,-0.1384682,1.4872282
0.0,0.6000000000000001,0.05,0.35000000000000003,-0.8891233,1.5288458,-0.43579108,2.1653435,-0.3410223,1.7692966
0.0,0.6000000000000001,0.1,0.30000000000000004,-1.0149996,1.6033317,-0.6045398,2.3041077,-0.4214822,1.9393659
0.0,0.6000000000000001,0.15000000000000002,0.25,-0.8372081,1.9306188,-0.41605884,2.6115148,-0.34125835,2.4504354
0.0,0.6000000000000001,0.2,0.2,-1.0390685,1.1636736,-0.56873864,1.8672804,-0.4135986,1.3878284
0.0,0.6000000000000001,0.25,0.15000000000000002,-0.87386185,1.0045848,-0.44291005,1.7417662,-0.36981875,1.2246702
0.0,0.6000000000000001,0.30000000000000004,0.1,-0.5619043,1.182905,-0.1869931,1.911293,-0.22073299,1.4035146
0.0,0.6000000000000001,0.35000000000000003,0.05,-0.79349405,1.4692736,-0.3784012,2.1367083,-0.3336423,1.7154408
0.0,0.6000000000000001,0.4,0.0,-0.7230646,1.7361393,-0.33275047,2.4776106,-0.30599278,2.2656221
0.0,0.65,0.0,0.35000000000000003,-0.7604269,1.2548368,-0.20938453,1.9847105,-0.21046752,1.5262749
0.0,0.65,0.05,0.30000000000000004,-0.85246336,1.5797673,-0.47375244,2.1972556,-0.3483274,1.7716324
0.0,0.65,0.1,0.25,-1.0920261,1.5429785,-0.7528149,2.2501366,-0.47157025,1.8274362
0.0,0.65,0.15000000000000002,0.2,-0.9584164,1.4102243,-0.5953426,2.1030757,-0.41103506,1.6759174
0.0,0.65,0.2,0.15000000000000002,-1.0404311,1.0937701,-0.6560361,1.7662793,-0.44079888,1.2609849
0.0,0.65,0.25,0.1,-0.9331829,0.8180383,-0.55926234,1.551938,-0.40112633,0.98793614
0.0,0.65,0.30000000000000004,0.05,-1.0544,1.4032183,-0.6870897,2.038664,-0.458938,1.5251453
0.0,0.65,0.35000000000000003,0.0,-0.69311947,1.2277592,-0.2719974,1.9491627,-0.2714126,1.4320936
0.0,0.7000000000000001,0.0,0.30000000000000004,-0.7870421,1.6379683,-0.28927037,2.3417509,-0.24826843,2.0229115
0.0,0.7000000000000001,0.05,0.25,-0.659852,1.6803823,-0.31162548,2.2543962,-0.2690677,1.8779707
0.0,0.7000000000000001,0.1,0.2,-0.72060686,1.6069347,-0.40421772,2.322026,-0.31719935,1.8697124
0.0,0.7000000000000001,0.15000000000000002,0.15000000000000002,-0.8724156,1.2010882,-0.5378777,1.8519337,-0.38351017,1.3209748
0.0,0.7000000000000001,0.2,0.1,-1.3167081,0.7386936,-0.9520904,1.3549563,-0.53835577,0.7868457
0.0,0.7000000000000001,0.25,0.05,-1.1567736,1.1629152,-0.809479,1.7273136,-0.49248654,1.1500084
0.0,0.7000000000000001,0.30000000000000004,0.0,-0.6552214,1.4359833,-0.26574725,2.0781925,-0.25763512,1.5434468
0.0,0.75,0.0,0.25,-0.71375644,1.430304,-0.23596947,2.1294675,-0.21445602,1.714159
0.0,0.75,0.05,0.2,-0.86562103,1.5270581,-0.55022275,2.17397,-0.3760389,1.7008305
0.0,0.75,0.1,0.15000000000000002,-0.54745734,1.5147201,-0.20932515,2.2818708,-0.21858323,1.7947855
0.0,0.75,0.15000000000000002,0.1,-0.93670034,0.5513676,-0.59263515,1.2186958,-0.40069646,0.6536907
0.0,0.75,0.2,0.05,-1.3022612,0.94298023,-0.9686352,1.4947302,-0.53453636,0.8730451
0.0,0.75,0.25,0.0,-0.88414603,1.3535932,-0.5203324,1.9922615,-0.3775617,1.4322164
0.0,0.8,0.0,0.2,-0.57155937,1.1202987,-0.16999973,1.8817052,-0.16843653,1.3529677
0.0,0.8,0.05,0.15000000000000002,-0.7344299,1.3555299,-0.36515534,2.0968323,-0.27866018,1.5448239
0.0,0.8,0.1,0.1,-1.0543079,1.0661877,-0.74848205,1.6707876,-0.45153266,1.0360894
0.0,0.8,0.15000000000000002,0.05,-1.2021079,0.8181556,-0.9006358,1.4200526,-0.5029215,0.803316
0.0,0.8,0.2,0.0,-0.9168623,1.5390313,-0.61332357,2.0770917,-0.4038155,1.4820592
0.0,0.8500000000000001,0.0,0.15000000000000002,-0.65359765,0.984842,-0.29871646,1.734992,-0.22726929,1.1252127
0.0,0.8500000000000001,0.05,0.1,-0.5571523,1.5119958,-0.24853319,2.1681395,-0.21437591,1.4777267
0.0,0.8500000000000001,0.1,0.05,-0.9569545,1.2759889,-0.682629,1.8602177,-0.41905445,1.1927307
0.0,0.8500000000000001,0.15000000000000002,0.0,-1.17678,1.0985868,-0.9093577,1.6815907,-0.49438506,1.0093429
0.0,0.9,0.0,0.1,-0.059370242,1.0589682,0.29600897,1.6954353,0.122507334,1.0220537
0.0,0.9,0.05,0.05,-0.812444,1.9738098,-0.6022411,2.5604126,-0.34697706,1.8812718
0.0,0.9,0.1,0.0,-1.2252449,1.2825766,-0.97054935,1.8175992,-0.50211436,1.1036532
