status,rows,first_date,last_date,final_value_krw,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,trades,profit_factor,buyhold_return_pct,invested_days_pct,outperformed_buyhold,code,name,market,yfinance_symbol,violations
PASS,974.0,2022-01-04,2025-12-30,211281.27,-78.87,-32.29,-80.64,-1.215,18.0,0.686,-79.52,32.14,True,051380,피씨디렉트,KOSDAQ,051380.KQ,
PASS,974.0,2022-01-04,2025-12-30,740300.77,-25.97,-7.27,-56.23,-0.018,22.0,0.995,-13.72,44.15,False,053080,케이엔솔,KOSDAQ,053080.KQ,
PASS,974.0,2022-01-04,2025-12-30,502811.92,-49.72,-15.84,-49.72,-0.721,14.0,0.744,-73.42,23.82,True,215480,토박스코리아,KOSDAQ,215480.KQ,
PASS,974.0,2022-01-04,2025-12-30,542971.04,-45.7,-14.2,-60.69,-0.461,17.0,0.876,1.84,44.76,False,002290,삼일기업공사,KOSDAQ,002290.KQ,
PASS,974.0,2022-01-04,2025-12-30,363276.99,-63.67,-22.43,-68.73,-0.812,24.0,0.737,-81.0,23.0,True,317120,라닉스,KOSDAQ,317120.KQ,
PASS,974.0,2022-01-04,2025-12-30,110449.89,-88.96,-42.46,-92.71,-0.536,18.0,0.787,-51.35,37.47,False,091810,트리니티항공,KOSPI,091810.KS,
PASS,974.0,2022-01-04,2025-12-30,638769.81,-36.12,-10.63,-44.26,-0.614,16.0,0.823,-65.14,28.44,True,298540,더네이쳐홀딩스,KOSDAQ,298540.KQ,
PASS,974.0,2022-01-04,2025-12-30,493392.47,-50.66,-16.24,-63.0,-0.489,20.0,0.879,50.43,42.92,False,000370,한화손해보험,KOSPI,000370.KS,
PASS,974.0,2022-01-04,2025-12-30,1881386.97,88.14,17.18,-22.89,0.786,25.0,1.193,145.5,58.52,False,055550,신한지주,KOSPI,055550.KS,
PASS,156.0,2025-05-13,2025-12-30,3439831.32,243.98,605.27,-28.49,2.823,1.0,2.149,320.95,40.38,False,376900,로킷헬스케어,KOSDAQ,376900.KQ,
PASS,974.0,2022-01-04,2025-12-30,840280.51,-15.97,-4.27,-27.23,-0.16,17.0,0.954,-22.93,35.52,True,024800,유성티엔에스,KOSDAQ,024800.KQ,
PASS,974.0,2022-01-04,2025-12-30,743078.06,-25.69,-7.18,-38.3,-0.268,21.0,0.915,-53.39,30.18,True,285130,SK케미칼,KOSPI,285130.KS,
PASS,974.0,2022-01-04,2025-12-30,631729.42,-36.83,-10.88,-52.88,-0.394,19.0,0.895,-9.14,45.79,False,123700,SJM,KOSPI,123700.KS,
PASS,974.0,2022-01-04,2025-12-30,1331065.55,33.11,7.44,-33.17,0.374,16.0,1.123,42.79,47.64,False,009780,엠에스씨,KOSDAQ,009780.KQ,
PASS,974.0,2022-01-04,2025-12-30,2662807.28,166.28,27.85,-54.11,0.723,19.0,1.23,152.98,40.14,True,174900,앱클론,KOSDAQ,174900.KQ,
PASS,974.0,2022-01-04,2025-12-30,520689.39,-47.93,-15.1,-53.49,-0.457,17.0,0.851,330.32,33.78,False,182400,엔케이젠바이오텍코리아,KOSDAQ,182400.KQ,
PASS,974.0,2022-01-04,2025-12-30,814294.28,-18.57,-5.02,-38.91,-0.009,14.0,0.997,-51.48,32.44,True,089150,케이씨티,KOSDAQ,089150.KQ,
PASS,974.0,2022-01-04,2025-12-30,863070.9,-13.69,-3.63,-44.24,0.024,16.0,1.008,-68.32,37.89,True,057540,옴니시스템,KOSDAQ,057540.KQ,
PASS,974.0,2022-01-04,2025-12-30,331708.89,-66.83,-24.18,-66.83,-0.571,20.0,0.801,-89.54,26.28,True,276730,한울앤제주,KOSDAQ,276730.KQ,
PASS,974.0,2022-01-04,2025-12-30,409485.63,-59.05,-20.07,-61.2,-0.432,22.0,0.89,-38.33,43.43,False,078600,대주전자재료,KOSDAQ,078600.KQ,
PASS,974.0,2022-01-04,2025-12-30,862704.29,-13.73,-3.64,-43.38,-0.03,13.0,0.99,-76.16,36.14,True,270870,뉴트리,KOSDAQ,270870.KQ,
PASS,469.0,2024-01-24,2025-12-30,582606.32,-41.74,-24.38,-75.49,-0.295,8.0,0.915,-3.35,42.22,False,457550,우진엔텍,KOSDAQ,457550.KQ,
PASS,974.0,2022-01-04,2025-12-30,454080.74,-54.59,-17.97,-64.06,-0.73,21.0,0.789,-38.8,39.63,False,155650,와이엠씨,KOSDAQ,155650.KQ,
PASS,974.0,2022-01-04,2025-12-30,894569.85,-10.54,-2.76,-28.09,-0.082,20.0,0.979,13.71,58.62,False,008370,원풍,KOSDAQ,008370.KQ,
PASS,187.0,2025-03-26,2025-12-30,887716.2,-11.23,-14.44,-29.85,-0.065,2.0,0.978,42.31,28.34,False,462860,더즌,KOSDAQ,462860.KQ,
