total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,strategy,overlay_mode,alpha,max_notional,max_positions,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
5.93,-23.47,75,29,38.67,0.7934,1059298.58,1000000,30.0,52592.57,2023,2024,base,,10.0,150000,8,0.1,0.25,0.0,10,0.023531746031746032,False
17.58,-17.25,66,24,36.36,1.5893,1175829.91,1000000,30.0,48405.69,2023,2024,base,,10.0,150000,8,0.1,0.25,0.0,20,0.06976190476190476,False
-21.04,-27.56,91,31,34.07,-3.0599,789624.85,1000000,30.0,52639.47,2023,2024,base,,10.0,150000,8,0.1,0.25,0.06,10,-0.08349206349206349,False
-21.04,-27.56,91,31,34.07,-3.0599,789624.85,1000000,30.0,52639.47,2023,2024,base,,10.0,150000,8,0.1,0.25,0.06,20,-0.08349206349206349,False
19.83,-15.49,68,33,48.53,2.0375,1198282.77,1000000,30.0,49676.09,2023,2024,base,,10.0,150000,8,0.14,0.15,0.0,10,0.07869047619047619,False
17.31,-15.04,62,26,41.94,1.7268,1173072.76,1000000,30.0,45088.76,2023,2024,base,,10.0,150000,8,0.14,0.15,0.0,20,0.06869047619047619,False
29.2,-15.83,77,38,49.35,2.2821,1291984.08,1000000,30.0,58891.55,2023,2024,base,,10.0,150000,8,0.14,0.15,0.06,10,0.11587301587301586,False
25.0,-15.87,76,36,47.37,2.0794,1249976.28,1000000,30.0,56806.29,2023,2024,base,,10.0,150000,8,0.14,0.15,0.06,20,0.0992063492063492,False
6.54,-20.4,64,28,43.75,1.012,1065421.84,1000000,30.0,45001.35,2023,2024,base,,10.0,150000,8,0.14,0.25,0.0,10,0.025952380952380952,False
1.87,-15.09,56,21,37.5,0.4501,1018684.49,1000000,30.0,37854.83,2023,2024,base,,10.0,150000,8,0.14,0.25,0.0,20,0.007420634920634921,False
0.56,-17.6,72,33,45.83,0.2618,1005579.84,1000000,30.0,47671.41,2023,2024,base,,10.0,150000,8,0.14,0.25,0.06,10,0.0022222222222222222,False
-6.51,-20.91,72,31,43.06,-0.8478,934888.54,1000000,30.0,45259.31,2023,2024,base,,10.0,150000,8,0.14,0.25,0.06,20,-0.025833333333333333,False
3.88,-13.96,87,30,34.48,0.8196,1038779.58,1000000,30.0,52466.22,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.06,0.15,0.0,10,0.015396825396825397,False
11.64,-8.02,85,32,37.65,2.1892,1116357.97,1000000,30.0,51496.04,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.06,0.15,0.0,20,0.04619047619047619,False
4.68,-15.74,97,37,38.14,0.8999,1046812.21,1000000,30.0,58508.44,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.06,0.15,0.06,10,0.01857142857142857,False
4.68,-15.74,97,37,38.14,0.8999,1046812.21,1000000,30.0,58508.44,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.06,0.15,0.06,20,0.01857142857142857,False
10.28,-11.85,74,25,33.78,1.5991,1102809.56,1000000,30.0,44835.41,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.06,0.25,0.0,10,0.04079365079365079,False
9.52,-9.7,72,24,33.33,1.4871,1095244.56,1000000,30.0,43609.04,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.06,0.25,0.0,20,0.03777777777777778,False
6.7,-9.9,88,35,39.77,1.2342,1066996.73,1000000,30.0,53152.93,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.06,0.25,0.06,10,0.026587301587301587,False
6.7,-9.9,88,35,39.77,1.2342,1066996.73,1000000,30.0,53152.93,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.06,0.25,0.06,20,0.026587301587301587,False
4.22,-15.15,71,28,39.44,0.7927,1042199.14,1000000,30.0,42847.62,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.1,0.15,0.0,10,0.016746031746031745,False
8.55,-11.29,66,27,40.91,1.4689,1085546.13,1000000,30.0,39969.02,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.1,0.15,0.0,20,0.03392857142857143,False
