total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,max_notional,cash_fraction_per_entry,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,max_positions,daily_avg_pct_252,target_05pct_day
171.65,-8.05,121,59,48.76,7.609,2716469.85,1000000,30.0,159796.42,2024,2025,300000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.6811507936507937,True
199.34,-8.32,85,44,51.76,8.3222,2993434.54,1000000,30.0,159575.96,2024,2025,300000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.7910317460317461,True
138.58,-6.47,133,58,43.61,8.6896,2385830.56,1000000,30.0,122408.4,2024,2025,500000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.5499206349206349,True
161.34,-6.16,129,56,43.41,8.4147,2613408.18,1000000,30.0,142673.34,2024,2025,500000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.6402380952380953,True
170.25,-8.18,127,60,47.24,7.6345,2702549.44,1000000,30.0,159474.57,2024,2025,500000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.6755952380952381,True
208.05,-13.79,118,59,50.0,8.0044,3080497.3,1000000,30.0,172674.32,2024,2025,500000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.8255952380952382,True
126.73,-13.16,43,22,51.16,5.3198,2267263.57,1000000,30.0,133433.86,2024,2025,500000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.5028968253968255,True
111.23,-16.42,109,55,50.46,6.908,2112327.66,1000000,30.0,77206.19,2024,2025,150000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.4413888888888889,False
112.8,-12.04,108,55,50.93,7.2488,2128020.0,1000000,30.0,83482.51,2024,2025,150000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.4476190476190476,False
123.21,-12.75,109,57,52.29,7.2402,2232138.59,1000000,30.0,87867.81,2024,2025,150000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.4889285714285714,False
121.73,-13.56,109,56,51.38,6.8355,2217299.44,1000000,30.0,89340.31,2024,2025,150000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.48305555555555557,False
112.09,-16.32,92,44,47.83,6.1422,2120892.28,1000000,30.0,86487.26,2024,2025,150000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.4448015873015873,False
116.68,-17.13,110,56,50.91,6.7415,2166842.06,1000000,30.0,81364.48,2024,2025,200000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.46301587301587305,False
143.62,-13.29,109,56,51.38,7.4034,2436213.82,1000000,30.0,92345.39,2024,2025,200000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.5699206349206349,True
153.03,-15.34,109,56,51.38,7.207,2530255.93,1000000,30.0,100617.55,2024,2025,200000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.6072619047619048,True
155.57,-15.9,111,57,51.35,6.9409,2555651.44,1000000,30.0,105526.12,2024,2025,200000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.6173412698412698,True
152.71,-15.02,84,41,48.81,6.8896,2527126.17,1000000,30.0,105785.56,2024,2025,200000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.6059920634920635,True
118.42,-17.18,110,56,50.91,6.6358,2184179.7,1000000,30.0,82486.04,2024,2025,300000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.4699206349206349,False
141.58,-15.04,111,57,51.35,6.7302,2415755.28,1000000,30.0,98916.69,2024,2025,300000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.5618253968253969,True
146.08,-17.99,109,56,51.38,6.1392,2460781.44,1000000,30.0,105877.26,2024,2025,300000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.5796825396825397,True
187.28,-15.74,103,56,54.37,6.961,2872810.91,1000000,30.0,116305.57,2024,2025,300000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.7431746031746032,True
123.34,-36.46,50,25,50.0,4.5225,2233363.68,1000000,30.0,94002.84,2024,2025,300000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.48944444444444446,False
119.4,-17.18,110,56,50.91,6.6855,2193982.07,1000000,30.0,82542.99,2024,2025,500000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.47380952380952385,False
147.18,-14.95,111,58,52.25,6.7325,2471799.38,1000000,30.0,100664.44,2024,2025,500000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.584047619047619,True
142.1,-21.63,108,55,50.93,5.5052,2421013.24,1000000,30.0,107758.92,2024,2025,500000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.5638888888888889,True
101.35,-44.21,102,55,53.92,3.5346,2013508.21,1000000,30.0,103077.85,2024,2025,500000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.40218253968253964,False
137.91,-33.29,29,14,48.28,4.4684,2379064.65,1000000,30.0,91433.1,2024,2025,500000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.5472619047619047,True
50.06,-8.3,64,27,42.19,6.7088,1500627.24,1000000,30.0,50052.61,2025,2026,150000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.19865079365079366,False
53.48,-9.12,65,25,38.46,6.812,1534822.63,1000000,30.0,54134.51,2025,2026,150000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.2122222222222222,False
54.8,-10.21,65,25,38.46,6.6339,1548042.06,1000000,30.0,56147.03,2025,2026,150000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.21746031746031744,False
60.68,-10.16,65,27,41.54,6.5254,1606778.18,1000000,30.0,57703.85,2025,2026,150000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.24079365079365078,False
55.19,-10.44,62,24,38.71,6.4709,1551944.01,1000000,30.0,57325.65,2025,2026,150000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.2190079365079365,False
46.63,-8.21,63,27,42.86,6.2968,1466287.17,1000000,30.0,50782.16,2025,2026,200000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.18503968253968256,False
39.17,-9.4,65,27,41.54,4.6028,1391723.38,1000000,30.0,55698.06,2025,2026,200000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.15543650793650796,False
40.94,-8.81,62,25,40.32,4.5848,1409358.97,1000000,30.0,57803.03,2025,2026,200000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.16246031746031744,False
37.59,-9.42,60,24,40.0,4.1704,1375917.15,1000000,30.0,58050.76,2025,2026,200000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.14916666666666667,False
44.06,-10.93,49,17,34.69,4.4503,1440552.53,1000000,30.0,59953.23,2025,2026,200000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.17484126984126985,False
42.6,-8.35,63,27,42.86,5.7643,1425973.59,1000000,30.0,51231.49,2025,2026,300000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.16904761904761906,False
40.21,-9.62,65,28,43.08,4.3198,1402114.3,1000000,30.0,58571.8,2025,2026,300000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.15956349206349207,False
48.76,-10.34,63,28,44.44,4.9995,1487581.85,1000000,30.0,59652.27,2025,2026,300000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.1934920634920635,False
