config,symbol,side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_krw,pnl_pct,holding_steps,exit_reason,entry_year,entry_ret5,entry_ret20,entry_ret60,entry_vol20,entry_volume_surge
base_t55_sl12_mp4,016360,BUY,2024-08-20,42096.078125,2024-08-27,41039.2734375,2.375518,-2802.93,-2.8,1,regime_risk_off,2024,0.088838266951484,0.07415731009045001,0.2746665865510005,0.02657992471837844,2.1816769463079684
base_t55_sl12_mp4,000370,BUY,2024-08-20,6190.0,2024-08-27,5990.0,16.155089,-3521.32,-3.52,1,regime_risk_off,2024,0.127504553734062,0.22090729783037477,0.23061630218687879,0.041768278713723385,2.5439117813553755
base_t55_sl12_mp4,244920,BUY,2024-08-20,4149.89501953125,2024-08-27,3899.789306640625,24.096995,-6308.72,-6.31,1,regime_risk_off,2024,0.1546392662953493,0.12421588977929332,0.08474587303817827,0.03174462175674807,2.55243429224698
base_t55_sl12_mp4,004000,BUY,2024-09-03,47427.83203125,2024-09-10,43772.328125,2.108467,-7984.39,-7.98,1,regime_risk_off,2024,0.026369045757291598,0.1794870225608305,0.09642466869603172,0.02072273453365106,2.831615431079872
base_t55_sl12_mp4,035250,BUY,2024-09-03,14511.6669921875,2024-09-10,15382.89453125,6.891007,5685.62,5.69,1,regime_risk_off,2024,0.07286915765247604,0.20805859251404235,0.11872458016811938,0.012114313393523892,2.187537541240219
base_t55_sl12_mp4,004700,BUY,2024-09-03,56900.0,2024-09-10,57000.0,1.757469,-124.78,-0.12,1,regime_risk_off,2024,0.038321167883211604,0.12896825396825395,0.12228796844181455,0.021637397885142375,2.2099576580522706
base_t55_sl12_mp4,214330,BUY,2024-09-03,6100.0,2024-09-10,5700.0,16.393443,-6837.7,-6.84,1,regime_risk_off,2024,0.06830122591943955,0.15969581749049433,0.01836393989983298,0.018029885533295105,2.4743599043908406
base_t55_sl12_mp4,009450,BUY,2024-09-27,71274.796875,2024-10-16,86939.5859375,1.40302,21612.09,21.61,2,take_profit,2024,0.038516467167090784,0.019607882582036495,0.42187504383368735,0.024254550991048538,1.2986857532211629
base_t55_sl12_mp4,049430,BUY,2024-09-27,10379.0771484375,2024-10-30,10147.4013671875,9.634768,-2525.45,-2.53,4,regime_risk_off,2024,0.17894735090632574,0.1752361214838869,0.2068965713028159,0.0234697320296434,3.7234305879067526
base_t55_sl12_mp4,081580,BUY,2024-09-27,4371.5419921875,2024-10-30,4342.20263671875,22.875223,-969.13,-0.97,4,regime_risk_off,2024,0.14615388111319416,0.14910030705632726,0.19518722145861966,0.03390414535075542,2.2545800557978724
base_t55_sl12_mp4,321550,BUY,2024-09-27,6980.0,2024-10-30,5230.0,14.326648,-25296.42,-25.3,4,stop_loss,2024,0.10268562401263814,0.05757575757575761,0.18505942275042453,0.03794686628082261,3.3802763898211623
base_t55_sl12_mp4,060590,BUY,2024-10-16,8280.0,2024-10-30,7850.0,12.077295,-5477.66,-5.48,2,regime_risk_off,2024,0.07532467532467524,0.19308357348703176,0.054777070063694255,0.02446046702064706,2.7269589048116862
base_t55_sl12_mp4,090410,BUY,2024-12-11,1747.012939453125,2024-12-26,1520.0,57.240561,-13255.36,-13.26,2,stop_loss,2024,0.12025317050199513,0.16677649716029141,0.2651893793092839,0.045221229289765935,4.975122424253454
base_t55_sl12_mp4,215480,BUY,2024-12-11,2965.0,2025-02-07,2515.0,33.726813,-15431.53,-15.43,7,stop_loss,2024,0.24318658280922434,0.25105485232067504,0.08409506398537481,0.03796516516700041,13.67787342195517
base_t55_sl12_mp4,002290,BUY,2024-12-11,3256.94287109375,2025-02-28,3554.010009765625,30.70364,8793.68,8.79,10,time_exit,2024,0.11864407348160166,0.2895204001905798,0.2781690245428181,0.01892314086286135,2.758841029174237
base_t55_sl12_mp4,020180,BUY,2024-12-11,1014.746337890625,2025-02-28,1163.7445068359375,98.546796,14339.24,14.34,10,time_exit,2024,0.1313789848527298,0.2645631691958279,0.19495416322358672,0.03115799654343484,2.7852532053716406
base_t55_sl12_mp4,319400,BUY,2025-02-07,4159.17431640625,2025-03-10,3530.809814453125,24.043234,-15362.59,-15.36,4,stop_loss,2025,0.03860524329279991,0.1440328930699224,0.37233837222865596,0.026084264794174722,8.895664561350427
base_t55_sl12_mp4,092460,BUY,2024-12-26,7952.0966796875,2025-03-17,8867.79296875,12.5753,11180.61,11.18,10,time_exit,2024,0.10608020716149147,0.13696805242793064,0.30335365658464375,0.024874382560418292,2.625242729359925
base_t55_sl12_mp4,284740,BUY,2025-02-28,21055.90625,2025-03-24,20103.150390625,4.749261,-4811.31,-4.81,3,regime_risk_off,2025,0.0728155808387918,0.1444847468016528,0.1068578606743742,0.017499183453368865,16.85767567065392
base_t55_sl12_mp4,052220,BUY,2025-02-28,3975.0,2025-03-24,4125.0,25.157233,3462.26,3.46,3,regime_risk_off,2025,0.06998654104979818,0.14388489208633093,0.6358024691358024,0.021822770379917072,3.068607383856414
base_t55_sl12_mp4,194370,BUY,2025-03-10,7814.49169921875,2025-03-24,8419.6376953125,12.796738,7420.66,7.42,2,regime_risk_off,2025,0.08825482771298909,0.1460516945247372,0.21852441867786787,0.023467366901918377,3.840608282560974
base_t55_sl12_mp4,036170,BUY,2025-03-17,1029.0,2025-03-24,882.0,97.18173,-14542.86,-14.54,1,stop_loss,2025,0.08773784355179703,0.2220902612826603,0.2382671480144405,0.014104330806593767,4.54970577773895
base_t55_sl12_mp4,900310,BUY,2025-04-14,4635.0,2025-04-21,4050.0,21.574973,-12883.5,-12.88,1,stop_loss,2025,0.06551724137931036,0.10488676996424307,0.2928870292887029,0.021352904680513547,4.909895810043375
base_t55_sl12_mp4,452300,BUY,2025-04-14,3088.084716796875,2025-04-21,3741.333251953125,32.382531,20790.38,20.79,1,take_profit,2025,0.1345455201050303,0.10638304758232708,0.1345455201050303,0.03122512963048042,4.126024768528383
base_t55_sl12_mp4,024800,BUY,2025-04-21,2130.0,2025-05-22,2675.0,46.948357,25210.09,25.21,4,take_profit,2025,0.11518324607329844,0.1588683351468989,0.13297872340425543,0.017835835696250628,5.676151568413219
base_t55_sl12_mp4,084440,BUY,2025-04-14,1254.867919921875,2025-06-30,1216.603759765625,79.689662,-3340.11,-3.34,10,time_exit,2025,0.0885106234285633,0.14605738203495822,0.2514677072151683,0.03218675169186579,3.792089175610461
base_t55_sl12_mp4,424760,BUY,2025-04-14,1970.0,2025-06-30,1846.0,50.761421,-6575.53,-6.58,10,time_exit,2025,-0.012036108324974926,0.2056303549571603,-0.03431372549019607,0.037705186472781205,5.633963673600523
base_t55_sl12_mp4,023410,BUY,2025-04-21,3434.75537109375,2025-07-07,3410.80322265625,29.114155,-995.25,-1.0,10,time_exit,2025,0.12031242833189792,0.11682239392445792,0.1335914905610709,0.022533360138711468,68.02823382989858
base_t55_sl12_mp4,199820,BUY,2025-06-30,10102.5263671875,2025-07-21,12863.158203125,9.898514,26944.17,26.94,3,take_profit,2025,0.041836773127848614,0.09903117279150231,0.2301204496931235,0.018452192487840385,2.7939317965602446
base_t55_sl12_mp4,053980,BUY,2025-05-22,3605.199462890625,2025-08-04,3422.779296875,27.737716,-5344.74,-5.34,10,time_exit,2025,0.10930580875545637,0.17343753402054918,0.0622347901260607,0.015386067455450958,4.938624054874671
base_t55_sl12_mp4,102260,BUY,2025-06-30,4287.14208984375,2025-08-11,4110.95849609375,23.325562,-4397.25,-4.4,6,regime_risk_off,2025,0.050068385480750655,0.0922756917641423,0.23350525942679523,0.013173210652855023,4.49756704040138
base_t55_sl12_mp4,439580,BUY,2025-07-07,4820.0,2025-08-11,5410.0,20.746888,11903.94,11.9,5,regime_risk_off,2025,0.003121748178980255,-0.07307692307692304,0.5960264900662251,0.02131735041777554,4.149903511875215
base_t55_sl12_mp4,256840,BUY,2025-07-21,5473.2216796875,2025-08-11,5020.4013671875,18.270775,-8548.56,-8.55,3,regime_risk_off,2025,0.09448817898149486,0.06923078757481482,0.3544457462949471,0.019802820951463716,8.106700477127891
base_t55_sl12_mp4,307930,BUY,2025-08-04,7209.33984375,2025-08-11,6410.46728515625,13.870896,-11347.83,-11.35,1,regime_risk_off,2025,0.12633182705449308,0.25000004233061524,0.22314047122054426,0.026681178069096707,30.87802992530886
base_t55_sl12_mp4,031440,BUY,2025-08-26,41427.265625,2025-10-15,36322.484375,2.413869,-12585.31,-12.59,6,stop_loss,2025,0.13746632635780243,0.11640209078144914,0.20571432404369694,0.027284372640103825,3.1279551400580146
base_t55_sl12_mp4,082640,BUY,2025-08-26,8060.0,2025-10-29,7050.0,12.406948,-12793.42,-12.79,8,stop_loss,2025,0.007500000000000062,-0.03818615751789978,0.4341637010676156,0.013033456969690774,4.356020703054844
base_t55_sl12_mp4,454910,BUY,2025-08-26,64600.0,2025-11-05,81400.0,1.547988,25628.17,25.63,9,take_profit,2025,0.0713101160862355,0.0713101160862355,0.35146443514644354,0.019690637197631804,4.989870505476511
base_t55_sl12_mp4,032350,BUY,2025-08-26,17070.0,2025-11-12,18940.0,5.858231,10622.03,10.62,10,time_exit,2025,0.04723926380368093,0.02522522522522519,0.44661016949152543,0.02708312578528388,2.923843766115898
base_t55_sl12_mp4,089980,BUY,2025-10-29,19028.822265625,2025-11-19,15799.7490234375,5.255186,-17218.47,-17.22,3,stop_loss,2025,0.1068351473173772,0.13687311138763825,0.0992584136322725,0.021123721748437296,3.210083712491578
base_t55_sl12_mp4,388720,BUY,2025-10-15,84400.0,2025-11-26,73000.0,1.184834,-13766.59,-13.77,6,stop_loss,2025,0.25037037037037035,0.15934065934065944,0.1937765205091937,0.03399887873111422,5.384551098423157
base_t55_sl12_mp4,170900,BUY,2025-11-05,48195.70703125,2025-11-26,50352.3203125,2.074874,4161.28,4.16,3,regime_risk_off,2025,0.09946533165922733,0.13465790546513845,0.11739133191087014,0.016574809851787796,5.620670975749576
