total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,max_positions,max_notional,cash_fraction_per_entry,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
40.81,-6.2,29,12,41.38,3.6647,1408079.73,1000000,30.0,36130.2,2023,2024,2,200000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.16194444444444445,False
40.81,-6.2,29,12,41.38,3.6647,1408079.73,1000000,30.0,36130.2,2023,2024,2,200000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.16194444444444445,False
40.81,-6.2,29,12,41.38,3.6647,1408079.73,1000000,30.0,36130.2,2023,2024,2,200000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.16194444444444445,False
61.21,-8.87,29,12,41.38,3.6546,1612119.6,1000000,30.0,54195.3,2023,2024,2,300000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2428968253968254,False
61.21,-8.87,29,12,41.38,3.6546,1612119.6,1000000,30.0,54195.3,2023,2024,2,300000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2428968253968254,False
61.21,-8.87,29,12,41.38,3.6546,1612119.6,1000000,30.0,54195.3,2023,2024,2,300000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2428968253968254,False
99.93,-10.33,29,12,41.38,4.1577,1999265.85,1000000,30.0,80127.67,2023,2024,2,500000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.3965476190476191,False
96.42,-13.86,29,12,41.38,3.7749,1964183.8,1000000,30.0,85307.75,2023,2024,2,500000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.38261904761904764,False
104.76,-10.92,25,11,44.0,4.272,2047554.42,1000000,30.0,78371.7,2023,2024,2,500000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.41571428571428576,False
103.14,-15.44,29,12,41.38,4.0561,2031394.06,1000000,30.0,102079.21,2023,2024,2,1000000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.4092857142857143,False
171.76,-13.91,29,12,41.38,4.5642,2717584.3,1000000,30.0,138157.42,2023,2024,2,1000000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.6815873015873015,True
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,2,1000000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.0,False
36.98,-8.96,40,15,37.5,3.2322,1369768.77,1000000,30.0,49242.11,2023,2024,3,200000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.14674603174603174,False
36.98,-8.96,40,15,37.5,3.2322,1369768.77,1000000,30.0,49242.11,2023,2024,3,200000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.14674603174603174,False
36.98,-8.96,40,15,37.5,3.2322,1369768.77,1000000,30.0,49242.11,2023,2024,3,200000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.14674603174603174,False
53.95,-10.56,40,15,37.5,3.3487,1539472.17,1000000,30.0,70143.15,2023,2024,3,300000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2140873015873016,False
52.92,-13.0,40,15,37.5,3.2,1529177.48,1000000,30.0,72990.8,2023,2024,3,300000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.21000000000000002,False
55.47,-12.97,40,15,37.5,3.241,1554653.15,1000000,30.0,73863.17,2023,2024,3,300000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2201190476190476,False
77.51,-15.43,40,15,37.5,3.6062,1775139.39,1000000,30.0,98537.24,2023,2024,3,500000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.3075793650793651,False
96.72,-13.81,41,16,39.02,3.7858,1967223.1,1000000,30.0,109392.32,2023,2024,3,500000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.3838095238095238,False
