total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,strategy,train_end,trade_year,max_notional,max_positions,daily_avg_pct_252,target_05pct_day
-20.28,-25.79,63,20,31.75,-2.5893,797176.52,1000000,30.0,42311.42,ml_rerank,2023,2024,500000,6,-0.08047619047619048,False
-13.32,-18.89,86,30,34.88,-1.5221,866789.17,1000000,30.0,50013.56,ml_rerank,2023,2024,500000,8,-0.05285714285714286,False
34.49,-2.83,28,18,64.29,6.3023,1344869.05,1000000,30.0,17936.22,base,2024,2025,100000,4,0.13686507936507938,False
42.26,-6.05,46,26,56.52,6.2064,1422600.47,1000000,30.0,28996.12,base,2024,2025,100000,6,0.16769841269841268,False
57.58,-6.11,63,36,57.14,6.1943,1575831.65,1000000,30.0,38910.21,base,2024,2025,100000,8,0.2284920634920635,False
51.11,-4.27,28,18,64.29,6.2491,1511077.56,1000000,30.0,26753.03,base,2024,2025,150000,4,0.2028174603174603,False
61.43,-8.2,45,26,57.78,6.546,1614325.67,1000000,30.0,40102.14,base,2024,2025,150000,6,0.24376984126984128,False
72.88,-7.78,62,36,58.06,6.4456,1728789.08,1000000,30.0,48200.98,base,2024,2025,150000,8,0.2892063492063492,False
47.69,-5.07,29,18,62.07,5.3055,1476901.15,1000000,30.0,33220.37,base,2024,2025,200000,4,0.18924603174603175,False
67.26,-7.82,47,28,59.57,6.7161,1672553.99,1000000,30.0,44797.72,base,2024,2025,200000,6,0.2669047619047619,False
71.05,-7.57,64,37,57.81,6.2911,1710508.01,1000000,30.0,49569.11,base,2024,2025,200000,8,0.28194444444444444,False
45.79,-4.97,28,17,60.71,5.2654,1457891.51,1000000,30.0,32294.74,base,2024,2025,300000,4,0.1817063492063492,False
63.31,-7.33,46,28,60.87,6.5223,1633086.4,1000000,30.0,42883.38,base,2024,2025,300000,6,0.25123015873015875,False
63.92,-6.84,64,37,57.81,5.9766,1639195.23,1000000,30.0,48029.98,base,2024,2025,300000,8,0.2536507936507937,False
45.77,-4.97,28,17,60.71,5.2632,1457679.05,1000000,30.0,32293.84,base,2024,2025,500000,4,0.18162698412698414,False
63.18,-7.33,46,28,60.87,6.5098,1631757.4,1000000,30.0,42869.76,base,2024,2025,500000,6,0.2507142857142857,False
53.42,-6.84,63,35,55.56,5.3575,1534201.27,1000000,30.0,45470.62,base,2024,2025,500000,8,0.211984126984127,False
23.62,-7.99,36,20,55.56,3.8596,1236154.79,1000000,30.0,22357.04,fusion_hybrid_a0p5,2024,2025,100000,4,0.09373015873015873,False
36.41,-12.22,56,29,51.79,3.9722,1364072.4,1000000,30.0,34761.76,fusion_hybrid_a0p5,2024,2025,100000,6,0.14448412698412696,False
68.51,-15.44,81,45,55.56,5.5736,1685132.42,1000000,30.0,49532.37,fusion_hybrid_a0p5,2024,2025,100000,8,0.27186507936507937,False
36.13,-11.66,37,20,54.05,3.8636,1361319.61,1000000,30.0,33480.85,fusion_hybrid_a0p5,2024,2025,150000,4,0.14337301587301587,False
53.24,-14.91,56,29,51.79,4.3495,1532394.03,1000000,30.0,43610.87,fusion_hybrid_a0p5,2024,2025,150000,6,0.21126984126984127,False
97.61,-13.52,83,50,60.24,6.301,1976110.91,1000000,30.0,60616.3,fusion_hybrid_a0p5,2024,2025,150000,8,0.3873412698412698,False
38.25,-11.93,36,20,55.56,3.9077,1382540.62,1000000,30.0,35617.17,fusion_hybrid_a0p5,2024,2025,200000,4,0.15178571428571427,False
48.8,-15.65,56,29,51.79,4.1321,1487984.45,1000000,30.0,43957.19,fusion_hybrid_a0p5,2024,2025,200000,6,0.19365079365079363,False
84.66,-13.26,82,49,59.76,5.9846,1846595.79,1000000,30.0,58890.17,fusion_hybrid_a0p5,2024,2025,200000,8,0.33595238095238095,False
40.74,-12.09,36,20,55.56,4.0812,1407363.34,1000000,30.0,36328.63,fusion_hybrid_a0p5,2024,2025,300000,4,0.16166666666666668,False
49.86,-15.75,56,29,51.79,4.1945,1498620.5,1000000,30.0,44268.22,fusion_hybrid_a0p5,2024,2025,300000,6,0.19785714285714284,False
83.06,-13.44,82,48,58.54,5.9272,1830624.7,1000000,30.0,58857.89,fusion_hybrid_a0p5,2024,2025,300000,8,0.3296031746031746,False
40.74,-12.09,36,20,55.56,4.0812,1407363.34,1000000,30.0,36328.63,fusion_hybrid_a0p5,2024,2025,500000,4,0.16166666666666668,False
49.86,-15.75,56,29,51.79,4.1945,1498620.5,1000000,30.0,44268.22,fusion_hybrid_a0p5,2024,2025,500000,6,0.19785714285714284,False
83.02,-13.44,82,48,58.54,5.9255,1830188.44,1000000,30.0,58873.87,fusion_hybrid_a0p5,2024,2025,500000,8,0.32944444444444443,False
50.51,-3.2,47,28,59.57,7.5477,1505073.31,1000000,30.0,29825.94,fusion_rerank,2024,2025,100000,4,0.20043650793650794,False
57.23,-3.56,68,41,60.29,7.0868,1572341.1,1000000,30.0,42651.62,fusion_rerank,2024,2025,100000,6,0.22710317460317458,False
69.66,-5.43,90,53,58.89,7.0253,1696598.3,1000000,30.0,55597.63,fusion_rerank,2024,2025,100000,8,0.2764285714285714,False
70.75,-4.24,48,28,58.33,6.8897,1707500.02,1000000,30.0,45317.22,fusion_rerank,2024,2025,150000,4,0.28075396825396826,False
92.92,-4.4,68,41,60.29,8.3098,1929231.62,1000000,30.0,60426.87,fusion_rerank,2024,2025,150000,6,0.36873015873015874,False
108.83,-5.15,93,55,59.14,8.5464,2088320.16,1000000,30.0,74854.4,fusion_rerank,2024,2025,150000,8,0.43186507936507934,False
83.66,-5.26,48,27,56.25,6.7805,1836644.72,1000000,30.0,55650.93,fusion_rerank,2024,2025,200000,4,0.331984126984127,False
109.32,-5.48,68,40,58.82,8.3782,2093176.51,1000000,30.0,69993.06,fusion_rerank,2024,2025,200000,6,0.43380952380952376,False
120.07,-6.26,93,54,58.06,8.3753,2200695.73,1000000,30.0,82314.04,fusion_rerank,2024,2025,200000,8,0.47646825396825393,False
92.37,-6.8,48,27,56.25,6.655,1923712.49,1000000,30.0,64025.32,fusion_rerank,2024,2025,300000,4,0.36654761904761907,False
114.11,-6.41,68,40,58.82,8.0787,2141134.0,1000000,30.0,75593.23,fusion_rerank,2024,2025,300000,6,0.45281746031746034,False
113.28,-7.13,92,51,55.43,7.7302,2132769.04,1000000,30.0,83355.7,fusion_rerank,2024,2025,300000,8,0.44952380952380955,False
92.69,-6.72,48,27,56.25,6.5908,1926878.64,1000000,30.0,64610.98,fusion_rerank,2024,2025,500000,4,0.3678174603174603,False
117.29,-6.43,68,40,58.82,8.0877,2172871.37,1000000,30.0,76633.07,fusion_rerank,2024,2025,500000,6,0.465436507936508,False
115.87,-7.13,92,51,55.43,7.7536,2158705.72,1000000,30.0,84179.27,fusion_rerank,2024,2025,500000,8,0.4598015873015873,False
35.97,-12.6,52,26,50.0,4.3371,1359658.0,1000000,30.0,32356.13,ml_rerank,2024,2025,100000,4,0.14273809523809525,False
57.92,-14.79,73,39,53.42,5.0548,1579154.68,1000000,30.0,45688.8,ml_rerank,2024,2025,100000,6,0.22984126984126985,False
67.38,-11.43,95,50,52.63,5.4223,1673826.17,1000000,30.0,56755.14,ml_rerank,2024,2025,100000,8,0.2673809523809524,False
53.44,-18.24,52,26,50.0,4.1871,1534396.98,1000000,30.0,47608.7,ml_rerank,2024,2025,150000,4,0.21206349206349207,False
64.44,-18.78,72,36,50.0,4.5836,1644423.03,1000000,30.0,56945.58,ml_rerank,2024,2025,150000,6,0.2557142857142857,False
87.78,-16.5,95,52,54.74,5.5399,1877754.56,1000000,30.0,66483.46,ml_rerank,2024,2025,150000,8,0.34833333333333333,False
58.72,-19.64,52,26,50.0,4.0323,1587233.02,1000000,30.0,52451.44,ml_rerank,2024,2025,200000,4,0.233015873015873,False
60.88,-19.33,72,36,50.0,4.2976,1608802.63,1000000,30.0,58470.28,ml_rerank,2024,2025,200000,6,0.2415873015873016,False
82.23,-18.75,95,51,53.68,5.0457,1822278.45,1000000,30.0,66851.7,ml_rerank,2024,2025,200000,8,0.3263095238095238,False
54.98,-19.59,52,26,50.0,3.8363,1549804.7,1000000,30.0,53930.68,ml_rerank,2024,2025,300000,4,0.21817460317460316,False
57.76,-19.67,72,36,50.0,4.1143,1577590.97,1000000,30.0,58684.9,ml_rerank,2024,2025,300000,6,0.2292063492063492,False
76.72,-19.16,95,51,53.68,4.7909,1767241.16,1000000,30.0,66540.45,ml_rerank,2024,2025,300000,8,0.30444444444444446,False
