model,min_pred,top_n,score_mode,code,entry_date,exit_date,pnl_pct,pnl_krw,exit_reason,holding_steps
lgbm,0.01,4,ml,009440,2024-10-29,2024-12-03,41.24166666666669,41241.666666666686,take_profit,5
lgbm,0.01,4,ml,088130,2024-12-03,2025-02-20,-6.796768393328079,-6796.768393328079,time_exit,10
lgbm,0.01,4,ml,229000,2025-02-20,2025-03-21,-19.681804043545885,-19681.804043545882,stop_loss,4
lgbm,0.01,4,ml,101680,2025-03-21,2025-05-21,-16.266192170818496,-16266.192170818496,stop_loss,8
lgbm,0.01,4,ml,032280,2025-05-21,2025-08-01,-8.232151324716309,-8232.15132471631,time_exit,10
lgbm,0.01,4,ml,435570,2025-08-01,2025-09-01,-15.001075441313894,-15001.075441313893,stop_loss,4
lgbm,0.01,4,ml,307870,2025-09-01,2025-11-18,7.535703592814359,7535.70359281436,time_exit,10
lgbm,0.01,4,ml,071950,2025-11-18,2025-11-25,-32.52816635160681,-32528.166351606807,stop_loss,1
lgbm,0.01,4,ml,368600,2025-11-25,2026-01-16,-21.025039370078737,-21025.03937007874,stop_loss,7
lgbm,0.01,4,ml,309930,2026-01-16,2026-02-25,-15.334126984126994,-15334.126984126997,stop_loss,5
lgbm,0.01,4,ml,101680,2026-02-25,2026-03-05,-12.7625,-12762.5,stop_loss,1
lgbm,0.01,4,ml,368600,2026-03-05,2026-03-19,35.2425981873112,35242.5981873112,take_profit,2
lgbm,0.01,4,ml,276730,2026-03-19,2026-05-11,98.0191135734072,98019.1135734072,take_profit,7
lgbm,0.01,4,ml,276730,2026-05-11,2026-06-02,-14.969944211994429,-14969.944211994429,stop_loss,3
lgbm,0.01,4,ml,000300,2024-02-22,2026-06-17,-0.3,-300.0,end,0
lgbm,0.01,4,ml,041590,2024-03-29,2026-06-17,-0.3,-300.0,end,0
lgbm,0.01,4,ml,080720,2024-10-15,2026-06-17,-0.3,-300.0,end,0
lgbm,0.01,4,ml,069920,2026-06-02,2026-06-17,1.6518402505873238,1651.8402505873237,end,0
lgbm,0.02,4,ml,175140,2023-01-09,2023-01-16,19.782174688057026,19782.174688057028,take_profit,1
lgbm,0.02,4,ml,175140,2023-01-16,2023-02-15,20.852967359050453,20852.967359050454,take_profit,4
lgbm,0.02,4,ml,356890,2023-01-25,2023-02-22,24.376233689513015,24376.233689513014,take_profit,4
lgbm,0.02,4,ml,069330,2023-01-02,2023-03-16,2.0458823529411747,2045.8823529411748,time_exit,10
lgbm,0.02,4,ml,203690,2023-01-02,2023-03-16,-20.24000000000001,-20240.000000000015,stop_loss,10
lgbm,0.02,4,ml,042040,2023-02-15,2023-04-13,81.58031674208146,81580.31674208146,take_profit,8
lgbm,0.02,4,ml,069920,2023-02-22,2023-05-08,37.103457106274,37103.457106274,take_profit,10
lgbm,0.02,4,ml,002290,2023-03-16,2023-05-30,14.911026183011822,14911.026183011825,time_exit,10
lgbm,0.02,4,ml,071950,2023-03-23,2023-06-07,5.903555555555547,5903.5555555555475,time_exit,10
lgbm,0.02,4,ml,238090,2023-04-13,2023-06-28,-3.22697247706422,-3226.9724770642206,time_exit,10
lgbm,0.02,4,ml,307930,2023-05-30,2023-07-12,32.52377153967122,32523.771539671216,take_profit,6
lgbm,0.02,4,ml,204840,2023-05-08,2023-07-19,-5.440407673860915,-5440.407673860915,time_exit,10
lgbm,0.02,4,ml,009440,2023-06-07,2023-07-26,-24.924695211561005,-24924.695211561004,stop_loss,7
lgbm,0.02,4,ml,005110,2023-07-19,2023-08-17,-29.059615384615377,-29059.615384615376,stop_loss,4
lgbm,0.02,4,ml,336060,2023-06-28,2023-08-31,28.444027517198233,28444.027517198236,take_profit,9
lgbm,0.02,4,ml,002820,2023-07-12,2023-09-21,-10.68541666666667,-10685.416666666672,time_exit,10
lgbm,0.02,4,ml,008600,2023-07-26,2023-10-12,5.025854700854703,5025.854700854703,time_exit,10
lgbm,0.02,4,ml,217730,2023-08-31,2023-10-19,-17.69496491863244,-17694.96491863244,stop_loss,6
lgbm,0.02,4,ml,033560,2023-08-17,2023-10-26,-18.910666666666657,-18910.666666666657,stop_loss,9
lgbm,0.02,4,ml,081580,2023-09-21,2023-10-26,-12.437397797139653,-12437.397797139653,stop_loss,4
lgbm,0.02,4,ml,069920,2023-10-26,2023-11-16,-15.22601744186046,-15226.017441860458,stop_loss,3
lgbm,0.02,4,ml,011230,2023-10-12,2023-11-30,-12.589229767439827,-12589.229767439829,stop_loss,7
lgbm,0.02,4,ml,307930,2023-10-19,2023-12-14,37.03535652332925,37035.35652332925,take_profit,8
lgbm,0.02,4,ml,082660,2023-12-14,2023-12-21,-13.876170212765967,-13876.170212765966,stop_loss,1
lgbm,0.02,4,ml,046070,2023-12-21,2024-01-02,21.373913043478257,21373.913043478256,take_profit,1
lgbm,0.02,4,ml,005110,2023-11-02,2024-01-16,4.330030959752331,4330.03095975233,time_exit,10
lgbm,0.02,4,ml,317690,2023-11-16,2024-01-30,-7.428808290155445,-7428.808290155444,time_exit,10
lgbm,0.02,4,ml,000300,2024-01-02,2024-01-30,28.52891870807986,28528.91870807986,take_profit,4
lgbm,0.02,4,ml,276730,2023-11-30,2024-02-15,-9.852095808383238,-9852.095808383237,time_exit,10
lgbm,0.02,4,ml,000300,2024-02-06,2024-02-15,31.211401069741783,31211.401069741783,take_profit,1
lgbm,0.02,4,ml,046070,2024-01-16,2024-03-08,-17.4359375,-17435.9375,stop_loss,7
lgbm,0.02,4,ml,058110,2024-01-30,2024-03-22,19.73936877076412,19739.368770764122,take_profit,7
lgbm,0.02,4,ml,241820,2024-03-08,2024-03-22,22.658804780876483,22658.804780876482,take_profit,2
lgbm,0.02,4,ml,071950,2024-02-15,2024-04-15,-14.75192660550459,-14751.926605504588,stop_loss,8
lgbm,0.02,4,ml,377220,2024-03-22,2024-04-15,-14.331851851851853,-14331.851851851854,stop_loss,3
lgbm,0.02,4,ml,340360,2024-04-22,2024-04-29,26.160663507109,26160.663507109,take_profit,1
lgbm,0.02,4,ml,288330,2024-04-29,2024-06-07,20.441367304795772,20441.36730479577,take_profit,5
lgbm,0.02,4,ml,035290,2024-04-15,2024-06-28,5.636602451838873,5636.602451838873,time_exit,10
lgbm,0.02,4,ml,356890,2024-06-07,2024-07-05,-13.082049048939764,-13082.049048939763,stop_loss,4
lgbm,0.02,4,ml,203690,2024-06-28,2024-07-05,-12.364537815126052,-12364.537815126052,stop_loss,1
lgbm,0.02,4,ml,288330,2024-07-12,2024-07-26,46.81359574942206,46813.595749422064,take_profit,2
lgbm,0.02,4,ml,424760,2024-07-26,2024-09-09,-23.568242245199407,-23568.242245199406,stop_loss,6
lgbm,0.02,4,ml,356890,2024-07-05,2024-09-19,-4.930029627449796,-4930.029627449796,time_exit,10
lgbm,0.02,4,ml,080720,2024-09-19,2024-10-07,20.699803149606304,20699.803149606305,take_profit,2
lgbm,0.02,4,ml,119650,2024-10-07,2024-10-15,-24.13073170731707,-24130.73170731707,stop_loss,1
lgbm,0.02,4,ml,352090,2024-09-09,2024-10-29,-13.584392911949559,-13584.392911949559,stop_loss,6
lgbm,0.02,4,ml,009440,2024-10-29,2024-12-03,41.24166666666669,41241.666666666686,take_profit,5
lgbm,0.02,4,ml,088130,2024-12-03,2025-02-20,-6.796768393328079,-6796.768393328079,time_exit,10
lgbm,0.02,4,ml,229000,2025-02-20,2025-03-21,-19.681804043545885,-19681.804043545882,stop_loss,4
lgbm,0.02,4,ml,101680,2025-03-21,2025-05-21,-16.266192170818496,-16266.192170818496,stop_loss,8
lgbm,0.02,4,ml,032280,2025-05-21,2025-08-01,-8.232151324716309,-8232.15132471631,time_exit,10
lgbm,0.02,4,ml,435570,2025-08-01,2025-09-01,-15.001075441313894,-15001.075441313893,stop_loss,4
lgbm,0.02,4,ml,307870,2025-09-01,2025-11-18,7.535703592814359,7535.70359281436,time_exit,10
lgbm,0.02,4,ml,071950,2025-11-18,2025-11-25,-32.52816635160681,-32528.166351606807,stop_loss,1
lgbm,0.02,4,ml,368600,2025-11-25,2026-01-16,-21.025039370078737,-21025.03937007874,stop_loss,7
lgbm,0.02,4,ml,309930,2026-01-16,2026-02-25,-15.334126984126994,-15334.126984126997,stop_loss,5
lgbm,0.02,4,ml,101680,2026-02-25,2026-03-05,-12.7625,-12762.5,stop_loss,1
lgbm,0.02,4,ml,368600,2026-03-05,2026-03-19,35.2425981873112,35242.5981873112,take_profit,2
lgbm,0.02,4,ml,276730,2026-03-19,2026-05-11,98.0191135734072,98019.1135734072,take_profit,7
lgbm,0.02,4,ml,276730,2026-05-11,2026-06-02,-14.969944211994429,-14969.944211994429,stop_loss,3
lgbm,0.02,4,ml,000300,2024-02-22,2026-06-17,-0.3,-300.0,end,0
lgbm,0.02,4,ml,041590,2024-03-29,2026-06-17,-0.3,-300.0,end,0
lgbm,0.02,4,ml,080720,2024-10-15,2026-06-17,-0.3,-300.0,end,0
lgbm,0.02,4,ml,069920,2026-06-02,2026-06-17,1.6518402505873238,1651.8402505873237,end,0
lgbm,0.0,4,hybrid,175140,2023-01-09,2023-01-16,19.782174688057026,19782.174688057028,take_profit,1
lgbm,0.0,4,hybrid,175140,2023-01-16,2023-02-15,20.852967359050453,20852.967359050454,take_profit,4
lgbm,0.0,4,hybrid,356890,2023-01-25,2023-02-22,24.376233689513015,24376.233689513014,take_profit,4
lgbm,0.0,4,hybrid,069330,2023-01-02,2023-03-16,2.0458823529411747,2045.8823529411748,time_exit,10
lgbm,0.0,4,hybrid,203690,2023-01-02,2023-03-16,-20.24000000000001,-20240.000000000015,stop_loss,10
lgbm,0.0,4,hybrid,042040,2023-02-15,2023-04-13,81.58031674208146,81580.31674208146,take_profit,8
lgbm,0.0,4,hybrid,069920,2023-02-22,2023-05-08,37.103457106274,37103.457106274,take_profit,10
lgbm,0.0,4,hybrid,002290,2023-03-16,2023-05-30,14.911026183011822,14911.026183011825,time_exit,10
