total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,max_positions,train_end,trade_year,cash_fraction_per_entry,max_notional,daily_avg_pct_252,target_05pct_day
87.49,-8.19,128,62,48.44,8.4582,1874929.43,1000000,30.0,79753.19,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,1.0,100000,0.34718253968253965,False
103.85,-11.46,116,52,44.83,7.167,2038543.96,1000000,30.0,107973.27,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,1.0,150000,0.4121031746031746,False
143.45,-7.76,104,49,47.12,7.401,2434524.27,1000000,30.0,129658.64,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,1.0,200000,0.5692460317460317,True
199.34,-8.32,85,44,51.76,8.3222,2993434.54,1000000,30.0,159575.96,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,1.0,300000,0.7910317460317461,True
126.73,-13.16,43,22,51.16,5.3198,2267263.57,1000000,30.0,133433.86,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,1.0,500000,0.5028968253968255,True
78.3,-14.41,112,54,48.21,6.4499,1782957.83,1000000,30.0,66578.09,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.25,100000,0.3107142857142857,False
111.23,-16.42,109,55,50.46,6.908,2112327.66,1000000,30.0,77206.19,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.25,150000,0.4413888888888889,False
116.68,-17.13,110,56,50.91,6.7415,2166842.06,1000000,30.0,81364.48,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.25,200000,0.46301587301587305,False
118.42,-17.18,110,56,50.91,6.6358,2184179.7,1000000,30.0,82486.04,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.25,300000,0.4699206349206349,False
119.4,-17.18,110,56,50.91,6.6855,2193982.07,1000000,30.0,82542.99,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.25,500000,0.47380952380952385,False
77.78,-15.14,113,53,46.9,6.1646,1777819.78,1000000,30.0,68260.64,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.3,100000,0.3086507936507937,False
112.09,-11.52,108,55,50.93,7.4026,2120927.1,1000000,30.0,81521.91,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.3,150000,0.4448015873015873,False
140.51,-12.46,109,57,52.29,7.4783,2405058.54,1000000,30.0,89285.08,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.3,200000,0.557579365079365,True
140.77,-12.95,111,58,52.25,7.0868,2407700.76,1000000,30.0,94809.41,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.3,300000,0.5586111111111112,True
141.1,-12.95,111,58,52.25,7.1475,2410972.51,1000000,30.0,94791.06,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.3,500000,0.5599206349206349,True
79.17,-15.54,113,53,46.9,6.2112,1791730.6,1000000,30.0,69941.99,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.4,100000,0.31416666666666665,False
122.94,-12.53,109,57,52.29,7.3639,2229378.58,1000000,30.0,86126.89,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.4,150000,0.4878571428571428,False
145.73,-13.98,109,57,52.29,7.3382,2457272.47,1000000,30.0,95010.89,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.4,200000,0.5782936507936508,True
148.27,-16.42,111,58,52.25,6.5916,2482657.31,1000000,30.0,102582.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.4,300000,0.5883730158730159,True
149.65,-16.52,111,58,52.25,6.3936,2496535.25,1000000,30.0,104711.3,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.4,500000,0.5938492063492063,True
81.37,-15.59,113,53,46.9,6.3958,1813684.86,1000000,30.0,70481.57,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.5,100000,0.3228968253968254,False
123.21,-12.75,109,57,52.29,7.2402,2232138.59,1000000,30.0,87867.81,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2024,2025,0.5,150000,0.4889285714285714,False
